date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-02-16,2026,2,16,1,Michigan,Michigan,B10,25.0,24-1,127.94,90.11,0.98241,72.31,9.51,58.96,43.22,16.5158,16.7185,36.624,28.168,39.967,27.02,63.02,42.82,35.489,29.17,42.3129,41.9262
2026-02-16,2026,2,16,2,Houston,Houston,B12,25.0,23-2,126.56,91.63,0.97642,63.3351,7.25,52.4134,46.011,12.61,22.65,37.119,31.4209,26.4357,39.2277,53.3117,45.513,34.117,31.148,41.3146,42.8289
2026-02-16,2026,2,16,3,Arizona,Arizona,B12,25.0,23-2,124.916,90.72,0.97533,71.026,7.94,55.44,44.83,15.585,17.6132,39.24,25.814,42.538,28.636,56.346,43.33,35.396,31.657,26.4363,37.0101
2026-02-16,2026,2,16,4,Florida,Florida,SEC,25.0,19-6,125.314,91.64,0.97344,70.053,5.015,52.7119,46.216,16.1123,15.626,42.62,24.25,39.378,33.6132,58.124,44.55,29.5345,32.9125,39.0196,34.535
2026-02-16,2026,2,16,5,Illinois,Illinois,B10,26.0,21-5,132.11,97.424,0.97065,65.3287,6.28,55.635,47.024,13.714,11.4365,38.96,26.53,33.2234,18.61,58.026,46.623,35.682,31.864,51.18,41.6249
2026-02-16,2026,2,16,6,Duke,Duke,ACC,25.0,23-2,124.319,91.85,0.97046,66.3238,8.62,57.215,46.011,16.2132,19.164,36.723,25.111,38.2107,22.62,61.94,46.019,34.117,30.734,44.288,44.9328
2026-02-16,2026,2,16,7,Purdue,Purdue,B10,25.0,21-4,129.62,96.721,0.96667,65.2293,7.06,57.912,50.212,13.919,16.3211,35.837,26.018,28.7331,24.88,58.719,51.7182,37.823,32.281,40.7157,46.0342
2026-02-16,2026,2,16,8,Iowa St.,Iowa St.,B12,25.0,22-3,124.518,93.29,0.96528,67.6172,5.71,58.11,48.352,15.798,22.46,37.315,28.479,35.0189,26.919,57.135,48.869,39.84,31.759,37.7226,42.0267
2026-02-16,2026,2,16,9,Connecticut,Connecticut,BE,26.0,24-2,123.92,93.911,0.96039,64.8311,8.33,56.325,45.27,16.415,18.686,35.249,29.0101,31.2277,41.031,57.135,45.614,36.837,29.715,39.8176,35.354
2026-02-16,2026,2,16,10,Vanderbilt,Vanderbilt,SEC,25.0,21-4,125.412,96.52,0.95291,69.861,5.312,56.423,47.332,13.411,18.397,30.9172,29.4119,38.89,40.1296,58.52,49.28,35.97,29.51,44.97,39.2168
2026-02-16,2026,2,16,11,Texas Tech,Texas Tech,B12,25.0,19-6,125.51,96.922,0.951811,67.3185,5.114,55.635,49.28,15.164,15.626,33.68,29.1107,27.9339,32.5105,53.2123,50.7133,38.99,31.044,47.23,35.148
2026-02-16,2026,2,16,12,Nebraska,Nebraska,B10,25.0,22-3,120.243,92.96,0.950612,67.0198,6.77,56.227,47.229,13.816,19.257,26.0324,27.55,26.2358,24.67,58.52,49.588,36.065,29.919,50.91,49.4361
2026-02-16,2026,2,16,13,Kansas,Kansas,B12,25.0,19-6,120.64,93.61,0.948313,67.1193,5.611,53.582,45.05,15.372,13.7345,28.7246,29.7132,33.7225,25.812,53.895,45.07,35.489,29.919,36.0251,43.2297
2026-02-16,2026,2,16,14,Louisville,Louisville,ACC,25.0,19-6,125.511,97.625,0.947314,70.239,3.722,56.719,46.822,16.1123,17.016,33.68,27.241,35.6176,33.6132,60.48,45.715,35.78,32.39,53.04,40.5212
2026-02-16,2026,2,16,15,Gonzaga,Gonzaga,WCC,27.0,25-2,121.434,94.814,0.944515,69.763,5.99,56.621,46.72,13.816,20.52,36.134,24.03,31.7264,32.4102,58.818,47.031,34.2163,30.938,29.7352,43.8312
2026-02-16,2026,2,16,16,Tennessee,Tennessee,SEC,25.0,18-7,121.831,95.717,0.940916,65.7263,3.524,52.8114,47.127,18.3271,16.2219,45.01,27.756,41.25,35.0176,52.714,49.073,35.2103,29.919,33.1314,45.2335
2026-02-16,2026,2,16,17,Michigan St.,Michigan St.,B10,25.0,20-5,119.447,94.313,0.937617,65.7267,5.113,53.0103,47.024,17.5223,15.328,39.15,22.52,36.2163,31.282,53.6101,46.826,34.6134,31.451,36.8238,46.6351
2026-02-16,2026,2,16,18,Virginia,Virginia,ACC,25.0,22-3,120.739,95.516,0.936418,65.2292,5.016,54.459,45.05,15.9109,16.0237,39.73,28.585,35.1185,34.8171,55.558,45.211,35.489,29.818,46.141,36.789
2026-02-16,2026,2,16,19,Alabama,Alabama,SEC,25.0,18-7,128.73,102.159,0.935219,73.62,4.717,55.341,48.352,13.17,12.3363,31.2161,32.0247,37.0135,35.6195,57.135,48.765,35.871,31.759,54.21,35.044
2026-02-16,2026,2,16,20,Arkansas,Arkansas,SEC,25.0,19-6,127.15,101.25,0.93212,70.928,4.318,57.016,49.799,12.73,16.3211,32.313,31.9235,36.4159,29.549,57.731,52.0198,37.132,30.938,35.2269,39.9182
2026-02-16,2026,2,16,21,St. John's,St. John's,BE,25.0,20-5,121.036,96.519,0.931021,70.055,4.02,51.816,48.043,14.844,19.83,36.821,31.6218,44.021,32.4102,51.7183,47.232,34.6134,33.0131,33.8298,33.926
2026-02-16,2026,2,16,22,Saint Louis,Saint Louis,A10,25.0,24-1,122.629,98.429,0.926622,71.619,3.426,61.11,42.71,16.8175,16.1229,32.6114,25.917,34.3207,36.7225,60.19,43.54,41.52,27.61,45.554,40.5212
2026-02-16,2026,2,16,23,Wisconsin,Wisconsin,B10,25.0,18-7,125.215,101.855,0.915723,69.189,2.829,54.066,50.614,13.17,14.6317,29.921,26.426,34.5201,32.299,55.164,51.4164,35.489,32.9125,51.18,40.3203
2026-02-16,2026,2,16,24,Indiana,Indiana,B10,26.0,17-9,123.621,100.742,0.913324,66.423,1.34,55.931,47.127,14.844,15.328,28.1267,29.4119,35.8174,36.7225,59.812,47.646,34.8124,30.938,51.27,36.893
2026-02-16,2026,2,16,25,North Carolina,North Carolina,ACC,25.0,20-5,123.024,100.338,0.912325,68.0142,3.623,54.947,47.229,13.411,14.034,32.1137,28.062,38.3102,24.25,57.135,45.07,34.5143,34.0178,41.9137,36.481
2026-02-16,2026,2,16,26,Clemson,Clemson,ACC,26.0,20-6,115.377,94.212,0.910626,64.2327,2.927,53.487,46.822,14.95,17.7128,28.9237,25.212,37.2129,33.3124,54.966,47.542,34.2163,30.633,42.4125,41.7253
2026-02-16,2026,2,16,27,Iowa,Iowa,B10,25.0,18-7,122.828,100.439,0.910027,63.3352,2.134,57.514,51.016,15.057,21.313,31.1164,29.7132,36.6151,38.1259,59.115,52.7225,36.837,32.281,40.4163,38.2141
2026-02-16,2026,2,16,28,Utah St.,Utah St.,MWC,25.0,22-3,124.517,102.057,0.908428,68.0144,3.425,57.912,48.148,16.0117,20.816,35.544,31.9235,38.695,39.6288,60.95,47.542,35.682,32.6103,39.9173,41.3242
2026-02-16,2026,2,16,29,Villanova,Villanova,BE,25.0,20-5,121.035,99.433,0.905529,63.9332,3.721,54.36,50.5135,15.476,18.97,34.855,32.1255,32.8246,28.636,54.288,50.6129,36.258,33.5155,45.845,38.2141
2026-02-16,2026,2,16,30,N.C. State,N.C. State,ACC,26.0,18-8,122.827,101.148,0.90293,69.281,1.437,56.621,51.72,13.613,18.97,27.7278,29.0101,34.9192,37.0232,54.578,51.3161,39.46,34.722,44.384,45.033
2026-02-16,2026,2,16,31,BYU,BYU,B12,25.0,19-6,125.313,103.372,0.902131,70.05,4.119,55.734,49.8103,15.057,16.1229,34.855,28.375,36.0169,28.738,57.04,50.0108,35.871,33.0131,40.3164,39.0164
2026-02-16,2026,2,16,32,Texas A&M,Texas A&M,SEC,25.0,17-8,122.03,100.844,0.899332,71.223,0.847,55.341,50.614,15.057,18.97,33.099,31.9235,37.0135,35.2184,55.164,52.3214,37.034,32.175,47.826,41.9262
2026-02-16,2026,2,16,33,Saint Mary's,Saint Mary's,WCC,27.0,23-4,118.948,98.328,0.899333,65.4283,2.53,52.9107,46.114,16.415,15.4273,37.02,24.25,37.4127,25.812,50.6224,46.12,38.019,30.734,35.8254,36.998
2026-02-16,2026,2,16,34,Auburn,Auburn,SEC,25.0,14-11,125.97,104.487,0.895934,67.219,1.339,52.4134,53.0255,14.228,16.9169,38.48,31.7223,45.84,34.9174,54.383,52.7225,33.0232,35.6269,38.7201,40.6221
2026-02-16,2026,2,16,35,Santa Clara,Santa Clara,WCC,28.0,22-6,123.123,102.262,0.894435,69.764,1.536,55.045,51.318,16.2132,20.618,36.624,31.2196,26.7353,38.6265,57.829,52.9229,34.3153,32.596,44.384,36.893
2026-02-16,2026,2,16,36,San Diego St.,San Diego St.,MWC,24.0,18-6,112.0116,93.17,0.892936,68.5118,1.142,53.582,47.332,17.5223,21.71,29.5222,30.9183,37.1133,36.8228,53.5109,46.421,35.871,32.281,33.6307,48.7357
2026-02-16,2026,2,16,37,SMU,SMU,ACC,25.0,17-8,125.68,104.792,0.890237,68.8102,1.241,56.03,51.016,15.9109,17.4144,35.348,31.3199,32.5255,32.31,55.753,52.5219,37.823,32.8117,34.8283,46.4348
2026-02-16,2026,2,16,38,Ohio St.,Ohio St.,B10,25.0,16-9,123.322,103.575,0.881438,66.7215,0.845,55.538,49.589,15.476,16.0237,32.4121,31.3199,36.9139,34.4159,58.223,51.4164,34.3153,31.148,39.3185,40.7222
2026-02-16,2026,2,16,39,UCLA,UCLA,B10,25.0,17-8,120.244,100.945,0.881339,64.9304,1.338,53.487,49.8103,14.124,18.781,31.7147,31.8228,36.1166,36.5218,51.4192,53.5249,38.114,30.024,34.4288,44.2318
2026-02-16,2026,2,16,40,Kentucky,Kentucky,SEC,25.0,17-8,119.945,100.843,0.88074,67.9148,2.928,53.872,48.043,14.844,15.9243,33.974,29.5122,38.2107,35.7198,54.87,48.97,34.9117,31.148,39.2189,40.1189
2026-02-16,2026,2,16,41,Texas,Texas,SEC,25.0,16-9,125.69,105.7118,0.879241,67.0199,0.649,54.947,49.589,15.476,14.4324,37.713,27.446,46.93,41.832,57.135,48.154,34.117,34.8223,37.922,34.838
2026-02-16,2026,2,16,42,Cincinnati,Cincinnati,B12,26.0,14-12,109.7153,93.28,0.867442,67.915,-2.68,49.8243,47.638,17.4211,18.97,30.4189,26.835,30.7292,29.65,50.9212,47.542,32.2262,31.968,43.51,40.923
2026-02-16,2026,2,16,43,Miami FL,Miami FL,ACC,25.0,20-5,118.849,101.146,0.864343,68.8107,2.333,56.128,50.1117,16.1123,18.59,37.218,25.713,39.087,30.463,58.917,48.358,33.321,35.1238,31.8332,40.2194
2026-02-16,2026,2,16,44,New Mexico,New Mexico,MWC,25.0,19-6,116.666,99.432,0.862844,69.86,0.944,53.775,48.661,15.585,19.545,28.9237,28.271,36.0169,32.6108,53.6101,52.1205,35.871,29.919,42.7115,48.8358
2026-02-16,2026,2,16,45,Washington,Washington,B10,26.0,13-13,117.359,100.54,0.855445,66.8213,-2.174,51.1189,49.8103,15.9109,14.9304,35.249,28.271,31.3273,32.31,52.6143,50.6129,32.1268,32.494,33.6307,37.7124
2026-02-16,2026,2,16,46,Georgia,Georgia,SEC,25.0,17-8,120.442,103.474,0.852846,73.07,0.943,53.582,48.97,14.637,19.257,36.23,35.634,37.8116,29.752,58.026,48.765,31.7287,32.8117,43.1106,36.379
