criterion,threshold,champ_pass,champ_total,champ_misses,field_pass,field_total,field_pass_rate
net_rating_rank,3,7,10,2016 CLE; 2021 MIL; 2023 DEN,30,300,0.1
net_rating_rank,4,7,10,2016 CLE; 2021 MIL; 2023 DEN,40,300,0.1333
net_rating_rank,5,8,10,2021 MIL; 2023 DEN,50,300,0.1667
net_rating_rank,6,9,10,2023 DEN,60,300,0.2
net_rating_rank,7,10,10,,70,300,0.2333
net_rating_rank,8,10,10,,80,300,0.2667
net_rating_z,0.75,9,10,2023 DEN,62,300,0.2067
net_rating_z,1.0,9,10,2023 DEN,46,300,0.1533
net_rating_z,1.25,7,10,2016 CLE; 2021 MIL; 2023 DEN,31,300,0.1033
net_rating_z,1.5,4,10,2016 CLE; 2019 TOR; 2020 LAL; 2021 MIL; 2022 GSW; 2023 DEN,18,300,0.06
net_rating_z,1.75,3,10,2016 CLE; 2018 GSW; 2019 TOR; 2020 LAL; 2021 MIL; 2022 GSW; 2023 DEN,9,300,0.03
net_rating_z,2.0,3,10,2016 CLE; 2018 GSW; 2019 TOR; 2020 LAL; 2021 MIL; 2022 GSW; 2023 DEN,6,300,0.02
top_conference_seed,1,6,10,2018 GSW; 2019 TOR; 2021 MIL; 2022 GSW,20,300,0.0667
top_conference_seed,2,8,10,2021 MIL; 2022 GSW,40,300,0.1333
top_conference_seed,3,10,10,,60,300,0.2
top_conference_seed,4,10,10,,80,300,0.2667
elite_offense,5,6,10,2019 TOR; 2020 LAL; 2021 MIL; 2022 GSW,50,300,0.1667
elite_offense,6,8,10,2020 LAL; 2022 GSW,60,300,0.2
elite_offense,8,8,10,2020 LAL; 2022 GSW,80,300,0.2667
elite_offense,10,8,10,2020 LAL; 2022 GSW,100,300,0.3333
elite_offense,12,9,10,2022 GSW,120,300,0.4
elite_offense,15,10,10,,150,300,0.5
elite_defense,5,6,10,2016 CLE; 2018 GSW; 2021 MIL; 2023 DEN,50,300,0.1667
elite_defense,8,6,10,2016 CLE; 2018 GSW; 2021 MIL; 2023 DEN,80,300,0.2667
elite_defense,10,9,10,2023 DEN,100,300,0.3333
elite_defense,12,9,10,2023 DEN,120,300,0.4
elite_defense,15,9,10,2023 DEN,150,300,0.5
elite_defense,18,10,10,,180,300,0.6
elite_defense,20,10,10,,200,300,0.6667
ffi_z,0.5,10,10,,97,300,0.3233
ffi_z,0.75,10,10,,61,300,0.2033
ffi_z,1.0,8,10,2016 CLE; 2023 DEN,41,300,0.1367
ffi_z,1.25,5,10,2016 CLE; 2018 GSW; 2021 MIL; 2022 GSW; 2023 DEN,29,300,0.0967
ffi_z,1.5,4,10,2016 CLE; 2018 GSW; 2019 TOR; 2021 MIL; 2022 GSW; 2023 DEN,16,300,0.0533
efg_margin_z,0.25,10,10,,127,300,0.4233
efg_margin_z,0.5,10,10,,94,300,0.3133
efg_margin_z,0.75,10,10,,71,300,0.2367
efg_margin_z,1.0,9,10,2016 CLE,50,300,0.1667
efg_margin_z,1.25,6,10,2016 CLE; 2020 LAL; 2021 MIL; 2023 DEN,31,300,0.1033
tov_edge_z,-0.5,8,10,2018 GSW; 2023 DEN,208,300,0.6933
tov_edge_z,-0.25,6,10,2018 GSW; 2021 MIL; 2022 GSW; 2023 DEN,179,300,0.5967
tov_edge_z,0,5,10,2016 CLE; 2018 GSW; 2021 MIL; 2022 GSW; 2023 DEN,144,300,0.48
tov_edge_z,0.25,3,10,2016 CLE; 2017 GSW; 2018 GSW; 2021 MIL; 2022 GSW; 2023 DEN; 2024 BOS,119,300,0.3967
tov_edge_z,0.5,2,10,2016 CLE; 2017 GSW; 2018 GSW; 2019 TOR; 2021 MIL; 2022 GSW; 2023 DEN; 2024 BOS,92,300,0.3067
no_glaring_weakness,15,2,10,2016 CLE; 2017 GSW; 2018 GSW; 2019 TOR; 2021 MIL; 2022 GSW; 2023 DEN; 2025 OKC,20,300,0.0667
no_glaring_weakness,18,3,10,2016 CLE; 2017 GSW; 2018 GSW; 2021 MIL; 2022 GSW; 2023 DEN; 2025 OKC,37,300,0.1233
no_glaring_weakness,20,4,10,2017 GSW; 2018 GSW; 2021 MIL; 2022 GSW; 2023 DEN; 2025 OKC,55,300,0.1833
no_glaring_weakness,22,7,10,2018 GSW; 2022 GSW; 2025 OKC,87,300,0.29
no_glaring_weakness,25,8,10,2018 GSW; 2025 OKC,150,300,0.5
star_player,4,10,10,,241,300,0.8033
star_player,5,10,10,,217,300,0.7233
star_player,6,9,10,2025 OKC,207,300,0.69
star_player,7,8,10,2024 BOS; 2025 OKC,200,300,0.6667
star_player,8,7,10,2022 GSW; 2024 BOS; 2025 OKC,190,300,0.6333
