method,champion_param,contender_param,champ_capture,finals_capture,avg_above_champion,avg_above_contender
gap,3,8,0.6,0.9,3.0,11.2
gap,3,10,0.6,1.0,3.0,15.5
gap,3,12,0.6,1.0,3.0,18.7
gap,3,14,0.6,1.0,3.0,21.9
gap,4,8,0.9,0.9,4.7,9.5
gap,4,10,0.9,1.0,4.7,13.8
gap,4,12,0.9,1.0,4.7,17.0
gap,4,14,0.9,1.0,4.7,20.2
gap,5,8,0.9,0.9,6.5,7.7
gap,5,10,0.9,1.0,6.5,12.0
gap,5,12,0.9,1.0,6.5,15.2
gap,5,14,0.9,1.0,6.5,18.4
gap,6,8,1.0,0.9,7.9,6.3
gap,6,10,1.0,1.0,7.9,10.6
gap,6,12,1.0,1.0,7.9,13.8
gap,6,14,1.0,1.0,7.9,17.0
gap,8,10,1.0,1.0,14.2,4.3
gap,8,12,1.0,1.0,14.2,7.5
gap,8,14,1.0,1.0,14.2,10.7
rank,3,6,0.7,0.65,3.0,3.0
rank,3,8,0.7,0.75,3.0,5.0
rank,3,10,0.7,0.8,3.0,7.0
rank,4,6,0.7,0.65,4.0,2.0
rank,4,8,0.7,0.75,4.0,4.0
rank,4,10,0.7,0.8,4.0,6.0
rank,5,6,0.8,0.65,5.0,1.0
rank,5,8,0.8,0.75,5.0,3.0
rank,5,10,0.8,0.8,5.0,5.0
rank,6,8,0.9,0.75,6.0,2.0
rank,6,10,0.9,0.8,6.0,4.0
