season,team,tournament_finish,adj_tempo,adj_em,inside,margin
2005,Butler,,61.8469,-0.6574,False,
2005,BYU,,66.8845,-0.6677,False,-28.9662953065144
2005,Cal St. Fullerton,,72.1586,3.5285,False,-20.691701257495115
2005,Canisius,,71.0431,-8.2512,False,-30.73627835752312
2005,Charleston,,70.3032,1.0572,False,-20.70816400000001
2005,Chattanooga,,69.1438,0.9409,False,-20.82446400000001
2005,Clemson,,71.5767,11.5651,False,-11.749975291117975
2005,Cleveland St.,,69.7147,-7.9193,False,-29.68466400000001
2005,Colorado,,70.7566,3.4586,False,-18.58083720033625
2005,Colorado St.,,68.5554,2.7655,False,-18.99986400000001
2005,Columbia,,67.5869,-9.0692,False,-33.319681624708046
2005,Cornell,,64.4836,-4.6088,False,
2005,Dayton,,65.4746,4.5972,False,
2005,Delaware,,70.2728,-2.9896,False,-24.754964000000008
2005,Delaware St.,,61.2475,-0.4298,False,
2005,Denver,,68.2038,5.7872,False,-15.978164000000008
2005,Detroit Mercy,,61.6088,3.1158,False,
2005,Drake,,68.9346,2.1587,False,-19.60666400000001
2005,Drexel,,66.5604,6.7229,False,-23.443567806903708
2005,Eastern Illinois,,67.6757,-8.1581,False,-31.896804154684652
2005,Furman,,65.333,-3.0052,False,
2005,George Mason,,68.6696,2.8793,False,-18.886064000000008
2005,Grand Canyon,,66.4395,-4.5967,False,
2005,Hawaii,,67.3928,1.0678,False,-24.301330351414535
2005,Hofstra,,69.348,6.7391,False,-15.026264000000008
2005,Liberty,,69.6973,-10.2032,False,-31.968564000000008
2005,Longwood,,72.0635,-24.2242,False,-48.29647639170638
2005,Louisiana Monroe,,67.9,-10.1541,False,-32.60010498209187
2005,Marquette,,65.4746,5.1626,False,
2005,Massachusetts,,68.4777,-1.4737,False,-23.23906400000001
2005,Memphis,,67.8872,10.7952,False,-11.724574707500638
2005,Miami (FL),,66.2031,10.3884,False,
2005,Miami (OH),,63.1882,8.9908,False,
2005,Michigan,,64.7045,2.8217,False,
2005,Middle Tennessee,,67.4471,5.3513,False,-19.70488534440694
2005,Mississippi,,65.1497,3.7421,False,
2005,Mississippi St.,,70.4724,13.186,False,-8.579364000000009
2005,Mississippi Valley St.,,68.2153,-9.0161,False,-30.781464000000007
2005,Missouri,,66.0611,5.2464,False,
2005,Missouri St.,,69.4775,9.9948,False,-11.77056400000001
2005,Montana,,68.8478,-2.3778,False,-24.14316400000001
2005,Morehead St.,,66.75,-13.5668,False,-42.64055374928628
2005,Morgan St.,,69.6082,-12.2539,False,-34.01926400000001
2005,Mount St. Mary's,,65.5651,-15.9338,False,
2005,Murray St.,,65.8259,3.4109,False,
2005,Navy,,74.7587,-10.7841,False,-39.048669748949294
2005,Nebraska,,68.0268,9.1148,False,-12.650564000000008
2005,Nevada,,67.6484,9.1383,False,-14.757741147158113
2005,New Hampshire,,68.3445,-7.9817,False,-29.74706400000001
2005,New Orleans,,65.8537,-1.6943,False,
2005,Nicholls St.,,72.467,-16.2665,False,-40.96640713140936
2005,Norfolk St.,,66.6735,-8.2029,False,-37.717543123799615
2005,North Carolina A&T,,77.1944,-15.6598,False,
2005,North Dakota St.,,70.2261,-14.8317,False,-36.59706400000001
2005,Northern Colorado,,70.8793,-15.3521,False,-37.582392942000574
2005,Northern Illinois,,65.0314,0.3366,False,
2005,Notre Dame,,65.7583,10.1052,False,
2005,Oakland,,67.1389,-4.4919,False,-31.32432201401503
2005,Ohio,,67.3651,6.443,False,-19.085772647806934
2005,Oral Roberts,,70.4362,5.8169,False,-15.948464000000008
2005,Oregon,,68.2351,4.6565,False,-17.108864000000008
2005,Oregon St.,,69.0467,3.8415,False,-17.92386400000001
2005,Penn,,69.2837,9.3002,False,-12.465164000000009
2005,Penn St.,,66.38,-6.4094,False,
2005,Pepperdine,,70.6168,2.5726,False,-19.249382981227242
2005,Portland,,67.2511,0.7303,False,-25.455484264728838
2005,Prairie View A&M,,70.0557,-23.247,False,-45.012364000000005
2005,Purdue Fort Wayne,,67.9152,-11.9637,False,-34.32210343316899
2005,Quinnipiac,,71.9617,-14.3104,False,-38.22432990025217
2005,Rice,,69.1599,8.0068,False,-13.758564000000009
2005,Richmond,,67.4444,-1.6153,False,-26.687046145860382
2005,Rider,,67.9201,1.9999,False,-20.330263460160914
2005,Robert Morris,,68.0826,-8.2681,False,-30.03346400000001
2005,Sacred Heart,,70.8355,-16.2014,False,-38.363563508545816
2005,Saint Francis,,65.8304,-9.1399,False,
2005,Saint Louis,,62.418,-1.5166,False,
2005,Samford,,59.4583,-3.1735,False,
2005,Sam Houston St.,,72.0706,2.3192,False,-21.764120203978713
2005,San Diego,,72.3134,5.6618,False,-18.799187474362576
2005,San Diego St.,,71.1469,-1.0794,False,-23.72593578201178
2005,San Francisco,,69.8603,2.7954,False,-18.969964000000008
2005,San Jose St.,,65.7806,-10.2822,False,
2005,Seattle,,68.1844,0.0,False,-21.76536400000001
2005,Seton Hall,,67.0352,3.0119,False,-24.418172055022055
2005,Siena,,68.9578,-12.1675,False,-33.93286400000001
2005,SIU Edwardsville,,69.4691,-1.3916,False,-23.15696400000001
2005,SMU,,67.4144,2.1744,False,-23.070243939787197
2005,South Carolina St.,,68.7923,1.1882,False,-20.57716400000001
2005,South Florida,,67.6086,2.9955,False,-21.12991888710101
2005,Stetson,,67.7168,-10.6017,False,-34.103534177004924
2005,Temple,,62.689,8.8218,False,
2005,Tennessee Tech,,70.944,0.8624,False,-21.468531625665467
2005,The Citadel,,70.1092,-14.0333,False,-35.79866400000001
2005,Towson,,67.314,-12.5205,False,-38.343775223462295
2005,Duke,,69.4332,25.959,True,4.193635999999991
2005,Florida,,67.7594,24.1536,True,0.8972806903711081
2005,Arizona,,71.0606,17.6995,False,-4.812799021574673
2005,UT Arlington,,69.8745,-8.5799,False,-30.345264000000007
2005,UTEP,,68.4073,11.5966,False,-10.168764000000008
2005,UT Rio Grande Valley,,68.6365,-12.6456,False,-34.41096400000001
2005,Valparaiso,,68.6506,-4.6446,False,-26.40996400000001
2005,Vanderbilt,,67.645,15.7685,False,-8.147136230469812
2005,VCU,,67.974,7.2107,False,-14.808823757072421
2005,Vermont,,66.7738,13.2005,False,-15.736088166104375
2005,Villanova,,68.0875,22.1564,True,0.3910359999999926
2005,Virginia,,71.1146,5.4826,False,-17.11369421350519
2005,Virginia Tech,,67.6603,6.2467,False,-17.580758355567077
2005,VMI,,69.2043,-16.4003,False,-38.16566400000001
2005,Wagner,,65.6013,-8.2574,False,
2005,Washington St.,,62.4705,5.8585,False,
2005,Weber St.,,64.2751,-8.764,False,
2005,Western Carolina,,71.7839,-14.4634,False,-38.100767953488386
2005,Western Illinois,,66.9435,-7.9322,False,-35.890762978458355
2005,Western Kentucky,,68.5207,4.7432,False,-17.02216400000001
2005,Western Mich.,,67.3288,9.6127,False,-16.125278978458358
2005,Charlotte,,72.0974,10.7196,False,-13.405406706640512
2005,West Virginia,,65.8904,10.7765,False,
2005,Wichita St.,,65.1103,11.7931,False,
2005,William & Mary,,69.1904,-10.3264,False,-32.09176400000001
2005,Winthrop,,64.3344,4.9912,False,
2005,Wisconsin,,64.2735,19.2599,False,
2005,Wright St.,,63.5539,-2.0076,False,
2005,Wyoming,,72.2147,3.8546,False,-20.45286292911179
2005,Xavier,,66.0747,8.5789,False,
2005,Youngstown St.,,66.7998,-19.5804,False,-48.36714341136775
2005,Utah,,60.9562,17.483,False,
2005,Gonzaga,,67.9711,16.1858,False,-5.850437210485325
2005,Pittsburgh,,66.1786,15.0557,False,
2005,George Washington,,71.73,14.1117,False,-9.441828308209596
2005,Southern Illinois,,64.9647,13.9438,False,
2005,Texas A&M,,65.9448,13.296,False,
2005,Texas Tech,,70.8653,13.2556,False,-8.952916410759338
2005,Maryland,,76.4663,13.1129,False,
2005,Creighton,,65.418,12.9941,False,
2005,Pacific,,65.6807,12.804,False,
2005,New Mexico,,66.9959,12.7332,False,-14.923368165066162
2005,Northern Iowa,,67.0785,12.153,False,-15.027522905787682
2005,Akron,,68.892,7.821,False,-13.944364000000009
2005,Texas,,69.1651,12.0989,False,-9.666464000000008
2005,Saint Joseph's,,63.5433,12.0834,False,
2005,Holy Cross,,65.487,11.2744,False,
2005,Indiana,,64.4042,10.9919,False,
2005,UAB,,72.5405,10.4981,False,-14.316133920425887
2005,DePaul,,64.7115,10.3689,False,
2005,Providence,,71.1439,9.7181,False,-12.923769382460087
2005,Stanford,,68.7396,9.5417,False,-12.223664000000008
2005,Georgetown,,62.4333,9.368,False,
2005,Tennessee,,66.3786,9.2906,False,
2005,UCLA,,71.8107,9.2286,False,-14.450454456150187
2005,Kansas St.,,66.2642,8.4603,False,
2005,Northeastern,,72.4401,7.4836,False,-17.174465082095836
2005,Louisiana,,68.8797,7.3357,False,-14.42966400000001
2005,Toledo,,67.9958,6.7872,False,-15.10668469348561
2005,Kent St.,,67.328,5.9649,False,-19.777689586296393
2005,UNLV,,71.5783,5.4009,False,-17.916664037545537
2005,Niagara,,72.4911,4.9148,False,-19.822593874474656
2005,Southeastern Louisiana,,61.9721,4.6979,False,
2005,St. John's,,68.7033,4.3134,False,-17.45196400000001
2005,Houston,,67.3263,3.991,False,-21.761387127952247
2005,Cal St. Northridge,,70.7479,4.5917,False,-17.434204641636327
2005,Florida St.,,67.3745,3.8313,False,-21.643298005709873
2005,Purdue,,67.144,3.6876,False,-23.11542938904748
2005,Santa Clara,,71.2628,3.0807,False,-19.746114351358933
2005,USC,,71.8321,2.1591,False,-21.553241439618947
2005,UNC Wilmington,,65.8073,1.9326,False,
2005,Texas A&M Corpus Chris,,68.1528,1.6851,False,-20.08026400000001
2005,Illinois St.,,65.8027,1.5874,False,
2005,Lamar,,75.7324,1.579,False,-28.200127496777803
2005,Illinois Chicago,,68.2567,1.5199,False,-20.24546400000001
2005,Eastern Kentucky,,67.6644,1.3146,False,-22.489228990397116
2005,Manhattan,,68.1523,1.3118,False,-20.453564000000007
2005,Louisiana Tech,,70.04,0.2877,False,-21.477664000000008
2005,Tulsa,,71.9864,0.2069,False,-23.745449923227806
2005,Loyola Marymount,,69.8071,-0.2909,False,-22.05626400000001
2005,Georgia Southern,,77.2135,-0.3421,False,
2005,Iona,,70.1745,-0.4287,False,-22.194064000000008
2005,Fordham,,67.7207,-0.5422,False,-24.021557463794508
2005,Little Rock,,67.0684,-1.0045,False,-28.243231829743088
2005,IU Indy,,64.863,-1.0459,False,
2005,Ball St.,,67.5736,3.8573,False,-20.469832980015603
2005,UCF,,62.5867,-1.4377,False,
2005,Green Bay,,67.3428,-1.4824,False,-27.139693341292535
2005,Indiana St.,,66.1321,-1.8073,False,
2005,Maine,,69.1439,-2.0432,False,-23.808564000000008
2005,Southeast Missouri St.,,67.9371,-2.3294,False,-24.561588043602413
2005,UC Irvine,,66.4723,-2.5949,False,
2005,Lehigh,,66.2057,-3.5189,False,
2005,FIU,,70.8541,-3.6245,False,-25.815595185766337
2005,Eastern Mich.,,72.0673,-3.6422,False,-27.720387164471852
2005,Harvard,,71.5702,-5.5091,False,-28.814064758755965
2005,Georgia St.,,67.2554,-5.5825,False,-31.743502247599324
2005,Troy,,71.0008,-6.6651,False,-29.08438212384422
2005,Idaho,,65.6036,-7.811,False,
2005,UMBC,,64.9471,-8.0728,False,
2005,Jacksonville,,71.7256,-8.2425,False,-31.789184255533772
2005,Davidson,,66.6449,2.8577,False,-26.821772354009827
2005,Northwestern St.,,69.4973,2.4193,False,-19.34606400000001
2005,East Tennessee St.,,74.3012,-8.8922,False,-36.44514381731577
2005,Lipscomb,,66.9468,-9.1778,False,-37.11734422112643
2005,Albany,,67.8428,0.7259,False,-22.049763442512376
2005,UC Davis,,68.8248,-9.1986,False,-30.96396400000001
2005,UC Riverside,,65.6718,-9.4698,False,
2005,Grambling St.,,70.5464,-10.4035,False,-32.168864000000006
2005,Southern Miss,,66.1418,-10.5396,False,
2005,UNC Asheville,,71.0765,-13.2181,False,-35.75513093919866
2005,Texas Southern,,68.5507,-13.4695,False,-35.23486400000001
2005,Southern,,71.6665,-13.7983,False,-37.25305618436538
2005,South Dakota St.,,69.4771,-14.6129,False,-36.37826400000001
2005,Tennessee Martin,,69.7697,-14.8311,False,-36.59646400000001
2005,Southern Utah,,69.2659,-14.9825,False,-36.74786400000001
2005,James Madison,,68.036,-16.8969,False,-38.66226400000001
2005,St. Bonaventure,,69.9755,-19.8703,False,-41.635664000000006
2005,Howard,,69.1236,-22.2594,False,-44.024764000000005
2005,Utah Valley,,64.7526,-15.0277,False,
2005,Bradley,,72.1725,0.0324,False,-24.209422242084624
2005,California,,68.1667,-0.34,False,-22.10536400000001
2005,Fresno St.,,70.0551,-0.0806,False,-21.84596400000001
2005,Princeton,,57.944,0.0772,False,
2005,Rutgers,,66.7334,0.1813,False,-28.98812386192576
2005,USC Upstate,,68.1844,0.0,False,-21.76536400000001
2005,Cal Baptist,,68.1844,0.0,False,-21.76536400000001
2005,Auburn,,69.9514,-1.1669,False,-22.93226400000001
2005,Saint Peter's,,73.2047,-1.715,False,-27.562374781171204
2005,Appalachian St.,,68.7758,-1.8148,False,-23.58016400000001
2005,UMKC,,69.5309,-2.1179,False,-23.883264000000008
2005,UTSA,,74.1918,-2.3379,False,-29.720675780330627
2005,Fairleigh Dickinson,,70.0606,-2.3442,False,-24.10956400000001
2005,Austin Peay,,66.4288,-3.058,False,
2005,Tennessee St.,,72.6325,-3.1652,False,-28.1225368400112
2005,Belmont,,68.7609,-3.1105,False,-24.875864000000007
2005,Portland St.,,71.2553,-3.6109,False,-26.426048352479707
2005,North Florida,,66.5896,-3.7322,False,-33.730380620814934
2005,Boise St.,,70.2419,-4.0624,False,-25.82776400000001
2005,East Carolina,,69.0477,-4.0201,False,-25.785464000000008
2005,Hampton,,69.0086,-4.0113,False,-25.77666400000001
2005,Gardner Webb,,68.9651,-4.2184,False,-25.983764000000008
2005,Yale,,69.3127,-4.5225,False,-26.28786400000001
2005,McNeese,,73.954,-4.7221,False,-31.734985842532915
2005,Georgia,,66.7021,-5.0999,False,-34.44971389358941
2005,La Salle,,66.8548,-5.0062,False,-33.47596412250197
2005,Marshall,,66.3611,-5.1716,False,
2005,Monmouth,,64.8543,-4.9302,False,
2005,Coppin St.,,67.1538,-4.965,False,-31.711549443031398
2005,UC Santa Barbara,,62.0878,-5.2759,False,
2005,UNC Greensboro,,71.6684,-5.3562,False,-28.81391157074813
2005,Mercer,,72.9836,-5.3474,False,-30.85086113421126
2005,Brown,,68.9549,-5.6132,False,-27.378564000000008
2005,Stephen F. Austin,,62.9118,-5.4921,False,
2005,South Alabama,,65.1475,-5.7778,False,
2005,Marist,,67.8086,-5.8216,False,-28.79436692758893
2005,Central Connecticut,,65.177,-5.9946,False,
2005,High Point,,75.5199,-5.9614,False,-35.40999086186608
2005,Northern Arizona,,72.4251,-6.661,False,-31.295733084337357
2005,North Texas,,72.8449,-6.499,False,-31.786717928271223
2005,Florida Atlantic,,74.8413,-6.3258,False,-34.71885128327263
2005,Rhode Island,,63.9111,-6.8511,False,
2005,Wofford,,68.843,-7.0438,False,-28.80916400000001
2005,Colgate,,67.2393,-7.2203,False,-33.47409073034001
2005,Montana St.,,70.9753,-7.3249,False,-29.704517727654824
2005,Nebraska Omaha,,69.6138,-7.6158,False,-29.38116400000001
2005,Texas St.,,64.7118,-7.7757,False,
2005,Duquesne,,68.8025,-7.9307,False,-29.696064000000007
2005,Alabama A&M,,72.2482,-7.5975,False,-31.957071057439062
2005,Long Beach St.,,66.2575,-8.5733,False,
2005,Stony Brook,,66.7444,-8.6327,False,-37.73872800415262
2005,Tulane,,69.9292,-8.9178,False,-30.68316400000001
2005,Bethune Cookman,,69.3121,-8.9969,False,-30.76226400000001
2005,Central Michigan,,70.0094,-10.0218,False,-31.78716400000001
2005,Elon,,65.5202,-10.196,False,
2005,Charleston Southern,,63.4962,-10.5332,False,
2005,Eastern Washington,,66.3832,-10.6875,False,
2005,Coastal Carolina,,69.4977,-10.8036,False,-32.56896400000001
2005,LIU,,70.3734,-10.7343,False,-32.49966400000001
2005,Sacramento St.,,71.644,-10.7849,False,-34.204658187727674
2005,Jackson St.,,71.4847,-10.7443,False,-33.916272371532656
2005,Lafayette,,74.5083,-10.9329,False,-38.80798093303447
2005,Dartmouth,,63.7455,-11.7534,False,
2005,New Mexico St.,,70.6459,-12.2898,False,-34.15704705687868
2005,Radford,,68.762,-12.2881,False,-34.053464000000005
2005,UC San Diego,,65.5453,-13.5419,False,
2005,Florida A&M,,69.4779,-13.2041,False,-34.96946400000001
2005,Loyola MD,,70.9056,-13.8594,False,-36.13060171140378
2005,Alabama St.,,65.5253,-13.7944,False,
2005,Jacksonville St.,,68.8893,-14.6612,False,-36.426564000000006
2005,Idaho St.,,69.7146,-14.9627,False,-36.72806400000001
2005,Cal Poly,,72.1496,-18.6189,False,-42.82510205884003
2005,Campbell,,69.5422,-20.3314,False,-42.09676400000001
2005,Maryland Eastern Shore,,72.7662,-33.6075,False,-58.772802713365095
2005,Air Force,,57.2541,11.8764,False,
2005,Arkansas Pine Bluff,,70.5693,-18.3548,False,-40.12016400000001
2005,Chicago St.,,67.896,-8.845,False,-31.314058021282143
2005,Evansville,,69.677,-2.4433,False,-24.20866400000001
2005,Loyola Chicago,,69.7568,-1.6265,False,-23.39186400000001
2005,Old Dominion,,67.0854,10.5558,False,-16.584956413184507
2005,Alabama,,65.5693,20.1539,False,
2005,Boston University,,65.0822,14.1199,False,
2005,Illinois,Runner-Up,67.2269,30.1477,True,3.8224448481702424
2005,Kansas,,69.1902,21.2558,False,-0.5095640000000081
2005,Louisville,Final Four,69.7132,25.131,True,3.3656359999999914
2005,Michigan St.,Final Four,68.0181,22.2714,True,0.506035999999991
2005,Oklahoma St.,,67.6038,23.2064,False,-0.9466825341292378
2005,Wake Forest,,71.4476,24.9726,True,1.8583354362566524
2005,Washington,,74.0361,20.7737,False,-6.366889643597652
2005,Army,,63.6964,-23.9857,False,
2005,Alcorn St.,,71.3281,-20.7505,False,-43.678886314934175
2005,Arkansas,,67.4797,10.4987,False,-14.369603075006545
2005,Connecticut,,72.5351,21.7741,False,-3.0317344012328427
2005,Georgia Tech,,70.896,18.4673,False,-3.7889692328383404
2005,Kentucky,,69.0583,21.8786,True,0.1132359999999899
2005,NC State,,64.434,18.1977,False,
2005,Oklahoma,,66.49,21.3373,False,-9.234901296651994
2005,South Carolina,,66.4349,12.2405,False,
2005,North Carolina,Champ,75.5408,30.0087,True,0.5275998879237882
2005,Houston Christian,,71.3667,-18.359,False,-41.3474273224993
2005,Bucknell,,65.4086,6.4798,False,
2005,American,,66.7382,-1.9143,False,-31.056060214897457
2005,Arizona St.,,69.6316,8.0437,False,-13.72166400000001
2005,Arkansas St.,,70.276,0.6478,False,-21.11756400000001
2005,Baylor,,65.4671,-5.977,False,
2005,Binghamton,,65.5574,-0.5634,False,
2005,Bowling Green,,66.2426,0.4273,False,
2005,Buffalo,,72.8491,7.9388,False,-17.355450887643613
2005,Fairfield,,66.4976,0.8976,False,-29.630800522190473
2005,Iowa St.,,68.6513,11.0969,False,-10.668464000000009
2005,Milwaukee,,70.6458,10.8622,False,-11.00489151022696
2005,Northwestern,,63.2925,4.2196,False,
2005,Saint Mary's,,67.1597,9.0688,False,-17.64374621022581
2005,TCU,,70.6557,4.8983,False,-16.984190628747555
2005,Utah St.,,64.5415,18.0488,False,
2005,Cincinnati,,70.2849,17.8344,False,-3.93096400000001
2005,Iowa,,69.9104,16.5415,False,-5.22386400000001
2005,LSU,,68.7822,15.489,False,-6.276364000000008
2005,Minnesota,,68.6827,13.5741,False,-8.19126400000001
2005,Ohio St.,,68.0741,15.4198,False,-6.345564000000008
2005,Syracuse,,68.1692,19.6323,False,-2.133064000000008
2006,Duke,,72.432,26.05,True,4.693247221949928
2006,Iowa,,67.634,16.6819,False,-3.4969919999999917
2006,George Mason,Final Four,65.231,14.8605,False,-8.848155398076495
2006,Bradley,,71.9131,14.0052,False,-6.17369199999999
2006,Florida St.,,71.103,12.4703,False,-7.708591999999991
2006,Clemson,,71.9197,11.1073,False,-9.07159199999999
2006,Boston University,,63.7232,9.0695,False,-17.26089176107771
2006,DePaul,,64.219,7.1763,False,-18.292003361571144
2006,Charlotte,,67.7682,5.7475,False,-14.431391999999992
2006,Colorado St.,,70.427,3.8084,False,-16.37049199999999
2006,Baylor,,68.2937,-0.5376,False,-20.71649199999999
2006,Charleston,,69.8258,-0.9999,False,-21.17879199999999
2006,Coastal Carolina,,64.1791,-2.52,False,-28.05768078621879
2006,Niagara,,68.7986,-2.9742,False,-23.15309199999999
2006,Austin Peay,,69.5398,-2.9467,False,-23.12559199999999
2006,SMU,,67.9616,-3.0195,False,-23.19839199999999
2006,Green Bay,,65.6259,-3.0514,False,-26.073410160147592
2006,East Tennessee St.,,75.9279,-3.1704,False,
2006,Lamar,,73.3843,-3.3126,False,-26.905327698686158
2006,Delaware St.,,58.3341,-3.3808,False,
2006,Evansville,,69.6435,-3.556,False,-23.73489199999999
2006,High Point,,73.7632,-3.6875,False,-28.169874760986925
2006,Tennessee Tech,,71.2225,-3.7406,False,-23.91949199999999
2006,San Jose St.,,70.3291,-3.9455,False,-24.12439199999999
2006,Jacksonville St.,,71.4461,-4.1279,False,-24.30679199999999
2006,Ball St.,,65.6275,-4.3213,False,-27.340528108031403
2006,Southern,,68.4393,-4.2048,False,-24.38369199999999
2006,Rice,,69.6505,-4.5629,False,-24.74179199999999
2006,Little Rock,,66.471,-4.6711,False,-26.223665008023744
2006,Montana St.,,68.5169,-4.7086,False,-24.88749199999999
2006,Radford,,70.0527,-4.6741,False,-24.85299199999999
2006,Alabama,,65.6859,10.9151,False,-12.002583205790197
2006,Arkansas,,69.5425,16.8243,False,-3.3545919999999896
2006,Auburn,,66.1896,3.6249,False,-18.416958423959915
2006,Arkansas St.,,70.5152,-4.9723,False,-25.15119199999999
2006,Belmont,,71.3971,2.293,False,-17.88589199999999
2006,Bethune Cookman,,69.9001,-13.3739,False,-33.55279199999999
2006,Binghamton,,66.4469,-0.3992,False,-21.993669668023973
2006,Canisius,,67.0156,-4.9921,False,-25.597724018973164
2006,Boise St.,,73.0094,1.7964,False,-20.916072529362978
2006,Brown,,66.6158,-12.1361,False,-33.43688929150793
2006,Bucknell,,65.0123,13.4023,False,-10.686627146709178
2006,Buffalo,,70.8161,0.9338,False,-19.24509199999999
2006,Tennessee St.,,66.9526,-4.91,False,-25.625167321048426
2006,Butler,,62.6897,10.4381,False,
2006,BYU,,72.546,8.5626,False,-13.061821727910964
2006,California,,65.8326,13.1348,False,-9.527803802386385
2006,Cal St. Fullerton,,71.424,0.0487,False,-20.13019199999999
2006,Cal St. Northridge,,71.7341,-8.1863,False,-28.36519199999999
2006,Central Connecticut,,65.5009,-0.2093,False,-23.44865798172549
2006,Central Michigan,,69.2006,-15.5342,False,-35.71309199999999
2006,Hampton,,70.7622,-4.9231,False,-25.10199199999999
