pace_pad,q_bot_em,q_x_left_bot,q_x_right_bot,champ_capture_excl_uconn,uconn_excluded,avg_inside_per_season,inside_growth,depth_corr
0.25,0.94,0.1,0.7,2,False,16.142857142857142,7.19047619047619,0.17454849621192764
0.25,0.94,0.1,0.75,2,False,16.61904761904762,7.666666666666668,0.17495033840829186
0.25,0.94,0.1,0.8,3,False,17.142857142857142,8.19047619047619,0.1750512275816491
0.25,0.94,0.1,0.85,3,False,17.61904761904762,8.666666666666668,0.1751029447161057
0.25,0.94,0.1,0.9,3,False,18.38095238095238,9.428571428571427,0.1754141268816097
0.25,0.94,0.15,0.7,2,False,15.523809523809524,6.571428571428571,0.17424607688751703
0.25,0.94,0.15,0.75,2,False,16.0,7.0476190476190474,0.17461235735248298
0.25,0.94,0.15,0.8,3,False,16.523809523809526,7.571428571428573,0.1747052564402364
0.25,0.94,0.15,0.85,3,False,17.0,8.047619047619047,0.17472331007697647
0.25,0.94,0.15,0.9,3,False,17.761904761904763,8.80952380952381,0.17497517140015229
0.25,0.94,0.2,0.7,2,False,14.904761904761905,5.9523809523809526,0.17414026765576962
0.25,0.94,0.2,0.75,2,False,15.380952380952381,6.428571428571429,0.17445783712309557
0.25,0.94,0.2,0.8,3,False,15.904761904761905,6.9523809523809526,0.174521057075774
0.25,0.94,0.2,0.85,3,False,16.38095238095238,7.428571428571427,0.17450293652571258
0.25,0.94,0.2,0.9,3,False,17.142857142857142,8.19047619047619,0.1746996250687007
0.25,0.94,0.25,0.7,2,False,14.523809523809524,5.571428571428571,0.17406985267533234
0.25,0.94,0.25,0.75,2,False,15.0,6.0476190476190474,0.17437481331159932
0.25,0.94,0.25,0.8,3,False,15.523809523809524,6.571428571428571,0.1743992051040727
0.25,0.94,0.25,0.85,3,False,16.0,7.0476190476190474,0.17436789615867326
0.25,0.94,0.25,0.9,3,False,16.761904761904763,7.80952380952381,0.1745343392343665
0.25,0.94,0.3,0.7,2,False,13.80952380952381,4.857142857142858,0.17410803038521772
0.25,0.94,0.3,0.75,2,False,14.285714285714286,5.333333333333334,0.17437156143805976
0.25,0.94,0.3,0.8,3,False,14.80952380952381,5.857142857142858,0.1743800284449529
0.25,0.94,0.3,0.85,3,False,15.285714285714286,6.333333333333334,0.17433428899173428
0.25,0.94,0.3,0.9,3,False,16.047619047619047,7.095238095238095,0.17445476142964753
0.25,0.945,0.1,0.7,2,False,14.714285714285714,5.761904761904761,0.17503853865032526
0.25,0.945,0.1,0.75,2,False,15.0,6.0476190476190474,0.17526525422763375
0.25,0.945,0.1,0.8,3,False,15.523809523809524,6.571428571428571,0.1752772666508302
0.25,0.945,0.1,0.85,3,False,16.285714285714285,7.333333333333332,0.17518403671284213
0.25,0.945,0.1,0.9,3,False,16.761904761904763,7.80952380952381,0.17560721045791566
0.25,0.945,0.15,0.7,2,False,14.238095238095237,5.285714285714285,0.1748269901720193
0.25,0.945,0.15,0.75,2,False,14.523809523809524,5.571428571428571,0.17499813547861467
0.25,0.945,0.15,0.8,3,False,15.047619047619047,6.095238095238095,0.17501198293730597
0.25,0.945,0.15,0.85,3,False,15.80952380952381,6.857142857142858,0.1749022666410702
0.25,0.945,0.15,0.9,3,False,16.285714285714285,7.333333333333332,0.17525741050831004
0.25,0.945,0.2,0.7,2,False,13.714285714285714,4.761904761904761,0.17484344509211094
0.25,0.945,0.2,0.75,2,False,14.0,5.0476190476190474,0.17499869888843275
0.25,0.945,0.2,0.8,3,False,14.523809523809524,5.571428571428571,0.17497481027403836
0.25,0.945,0.2,0.85,3,False,15.285714285714286,6.333333333333334,0.17483793350902938
