player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Luka Dončić,1629029,LAL,0.841,3.461,-2.62,4.689,4.506,0.183,65,35.76015625
Shai Gilgeous-Alexander,1628983,OKC,13.078,5.828,7.25,7.822,3.775,4.047,68,33.220098039215685
Anthony Edwards,1630162,MIN,3.825,0.767,3.057,3.203,2.436,0.767,61,35.02650273224044
Tyrese Maxey,1630178,PHI,5.809,-0.246,6.055,2.32,1.183,1.137,70,38.01690476190476
Kawhi Leonard,202695,LAC,3.642,5.493,-1.851,6.687,4.314,2.373,65,32.073076923076925
Nikola Jokić,203999,DEN,4.915,3.189,1.726,5.572,5.332,0.24,65,34.84410256410256
Giannis Antetokounmpo,203507,MIL,6.741,5.851,0.889,5.413,4.948,0.465,36,28.867592592592594
Donovan Mitchell,1628378,CLE,4.668,2.209,2.459,4.282,3.359,0.923,71,33.45809523809524
Jaylen Brown,1627759,BOS,1.852,4.374,-2.521,3.827,2.087,1.74,76,34.40633802816901
Stephen Curry,201939,GSW,2.112,3.976,-1.864,4.046,3.486,0.56,43,30.901162790697676
Joel Embiid,203954,PHI,10.586,7.675,2.911,4.931,3.741,1.19,39,31.596491228070178
Devin Booker,1626164,PHX,5.318,-2.362,7.68,2.704,1.211,1.493,64,33.53854166666667
Kevin Durant,201142,HOU,-0.685,-0.213,-0.471,2.589,1.426,1.163,78,36.40811965811966
Jalen Brunson,1628973,NYK,-4.908,-4.831,-0.078,2.45,2.253,0.197,74,34.9981981981982
Lauri Markkanen,1628374,UTA,6.218,-0.414,6.632,1.194,0.933,0.261,44,34.348015873015875
James Harden,201935,LAC,1.636,0.273,1.362,0.211,1.153,-0.942,44,35.438257575757575
Victor Wembanyama,1641705,SAS,13.813,6.282,7.532,8.649,3.912,4.737,64,29.15078125
Jamal Murray,1627750,DEN,5.209,4.19,1.019,3.183,4.347,-1.164,77,35.358666666666664
Cade Cunningham,1630595,DET,0.857,0.146,0.711,5.323,2.743,2.58,65,33.932552083333334
Michael Porter Jr.,1629008,BKN,4.322,4.497,-0.175,0.684,1.673,-0.989,54,32.47403846153846
Austin Reaves,1630559,LAL,7.051,1.594,5.457,3.682,2.254,1.428,52,34.54281045751634
Keyonte George,1641718,UTA,-0.617,0.118,-0.734,-3.186,0.085,-3.271,57,33.07592592592593
Jaren Jackson Jr.,1628991,UTA,-1.221,-4.423,3.202,1.446,-0.709,2.155,3,24.061111111111114
Paolo Banchero,1631094,ORL,-1.416,-2.509,1.093,0.699,-0.087,0.786,72,34.74560185185185
Jayson Tatum,1628369,BOS,5.808,2.975,2.833,5.229,3.277,1.952,16,32.614583333333336
Jalen Johnson,1630552,ATL,8.996,5.669,3.328,4.018,1.792,2.226,75,35.16087962962963
Pascal Siakam,1627783,IND,9.828,4.436,5.392,0.738,0.89,-0.152,70,33.17177419354839
Trey Murphy III,1630530,NOP,3.743,2.187,1.555,0.124,0.416,-0.292,67,35.464141414141416
Julius Randle,203944,MIN,2.8,1.39,1.41,3.447,2.177,1.27,79,33.0415611814346
Cooper Flagg,1642843,DAL,0.739,1.822,-1.083,-0.522,-0.512,-0.01,70,33.48357142857143
Brandon Ingram,1627742,TOR,8.142,0.859,7.283,0.774,-0.107,0.881,79,33.816233766233765
LeBron James,2544,LAL,2.374,1.437,0.936,4.015,2.986,1.029,60,33.15083333333333
Franz Wagner,1630532,ORL,4.341,2.201,2.139,3.183,0.976,2.207,34,29.97058823529412
James Harden,201935,CLE,1.636,0.273,1.362,0.211,1.153,-0.942,26,33.815384615384616
Anthony Davis,203076,DAL,0.269,-0.722,0.992,0.792,-0.05,0.842,20,31.28083333333333
Nickeil Alexander-Walker,1629638,ATL,4.058,1.615,2.443,3.464,1.74,1.724,80,33.37435897435898
Zion Williamson,1629627,NOP,-0.552,1.117,-1.669,0.197,0.292,-0.095,64,29.69489247311828
Brandon Miller,1641706,CHA,6.855,2.41,4.445,4.514,2.802,1.712,65,30.282307692307693
Desmond Bane,1630217,ORL,9.922,3.877,6.045,2.721,0.784,1.937,82,33.610569105691056
LaMelo Ball,1630163,CHA,10.217,8.713,1.504,4.7,4.369,0.331,72,28.02037037037037
Alperen Sengun,1630578,HOU,4.399,2.644,1.755,1.229,0.85,0.379,73,33.30162037037037
Darius Garland,1629636,LAC,2.941,1.45,1.49,1.141,1.224,-0.083,19,29.069298245614036
Dillon Brooks,1628415,PHX,-2.726,-1.808,-0.918,0.357,-0.509,0.866,57,30.386309523809523
Deni Avdija,1630166,POR,8.04,8.571,-0.531,0.892,0.881,0.011,82,33.32373737373737
Karl-Anthony Towns,1626157,NYK,-0.722,0.477,-1.199,3.34,1.943,1.397,77,30.95711111111111
Jimmy Butler III,202710,GSW,7.229,4.216,3.013,4.644,2.2,2.444,39,31.096929824561403
Bam Adebayo,1628389,MIA,8.144,3.91,4.234,3.196,1.3,1.896,76,32.39337899543379
