team_abbr,source_adj_em,bpr_aggregate_off,bpr_aggregate_def,bpr_combined_signal,proj_adj_em,actual_adj_em,pipeline_error,persistence_error,n_players,outlier
MIA,-0.51,1.403,5.868,-0.312,-3.62,-15.39,11.77,14.87,19,*
CLE,-8.28,4.274,4.58,1.271,-2.29,7.63,-9.91,-15.9,17,*
DEN,-8.37,7.489,2.321,2.228,-1.48,-8.76,7.27,0.38,13,
HOU,-0.97,1.382,4.972,-1.228,-4.39,2.46,-6.85,-3.43,15,
DET,-9.94,1.793,2.184,-3.606,-6.38,0.43,-6.81,-10.37,26,
PHI,0.24,6.483,4.67,3.57,-0.35,-7.11,6.76,7.35,21,
BOS,8.05,10.676,4.681,7.774,3.18,-3.33,6.51,11.38,17,
MIN,-5.3,4.313,8.693,5.422,1.2,-4.78,5.99,-0.52,13,
POR,-10.32,-0.398,0.139,-7.842,-9.94,-4.63,-5.31,-5.69,19,
IND,0.18,6.213,0.334,-1.036,-4.22,0.95,-5.17,-0.76,19,
NOP,-10.33,3.442,3.155,-0.985,-4.18,-8.99,4.81,-1.33,15,
UTA,-6.74,6.865,-1.739,-2.457,-5.42,-9.88,4.47,3.14,19,
ATL,-4.48,3.924,0.521,-3.138,-5.99,-2.01,-3.98,-2.47,19,
LAL,-0.73,5.002,2.958,0.377,-3.04,0.79,-3.83,-1.52,15,
WAS,-9.84,-1.31,2.351,-6.543,-8.85,-12.54,3.69,2.69,22,
LAC,-7.4,5.061,4.378,1.857,-1.79,-5.29,3.5,-2.11,16,
CHA,-11.12,2.213,0.607,-4.764,-7.36,-10.46,3.1,-0.66,25,
PHX,-9.25,6.702,4.345,3.464,-0.44,-3.17,2.72,-6.08,18,
GSW,0.61,3.094,2.874,-1.615,-4.71,-7.26,2.55,7.88,15,
MEM,-8.65,-1.185,3.086,-5.682,-8.13,-10.67,2.54,2.02,24,
DAL,0.49,7.921,3.481,3.818,-0.15,-1.7,1.55,2.18,19,
CHI,-2.93,3.477,3.751,-0.355,-3.65,-2.16,-1.49,-0.76,17,
TOR,-7.64,2.019,1.964,-3.6,-6.38,-5.28,-1.1,-2.36,23,
SAC,-0.5,4.138,7.451,4.006,0.01,-0.76,0.78,0.27,16,
SAS,-7.18,0.154,6.983,-0.447,-3.73,-3.18,-0.55,-4.0,17,
BKN,-4.59,1.298,1.645,-4.64,-7.25,-7.71,0.46,3.12,18,
OKC,5.4,4.971,4.977,2.365,-1.37,-0.96,-0.41,6.36,21,
ORL,-0.44,0.855,7.888,1.161,-2.38,-2.06,-0.32,1.62,15,
MIL,0.77,6.567,6.349,5.333,1.13,1.02,0.11,-0.25,15,
NYK,-9.18,9.869,3.316,5.602,1.35,1.36,-0.01,-10.55,17,
