player_name,player_id,prior_team,current_team,row_type,move_created,skip_reason
Anthony Davis,203076,dallas-mavericks,washington-wizards,departure,True,
Darius Garland,1629636,cleveland-cavaliers,los-angeles-clippers,departure,True,
Jaren Jackson Jr.,1628991,memphis-grizzlies,utah-jazz,departure,True,
Bennedict Mathurin,1631097,indiana-pacers,los-angeles-clippers,departure,True,
Collin Sexton,1629012,charlotte-hornets,chicago-bulls,departure,True,
Kennedy Chandler,1631113,utah-jazz,,departure,True,
Ivica Zubac,1627826,los-angeles-clippers,indiana-pacers,departure,True,
Cam Thomas,1630560,milwaukee-bucks,,departure,True,
De'Andre Hunter,1629631,cleveland-cavaliers,sacramento-kings,departure,True,
Jonathan Kuminga,1630228,golden-state-warriors,atlanta-hawks,departure,True,
Rayan Rupert,1641712,portland-trail-blazers,memphis-grizzlies,departure,True,
Tyler Burton,1631174,memphis-grizzlies,,departure,True,
Ousmane Dieng,1631172,oklahoma-city-thunder,milwaukee-bucks,departure,True,
Trae Young,1629027,atlanta-hawks,washington-wizards,departure,True,
Jared McCain,1642272,philadelphia-76ers,oklahoma-city-thunder,departure,True,
Jaden Hardy,1630702,dallas-mavericks,washington-wizards,departure,True,
Marvin Bagley III,1628963,washington-wizards,dallas-mavericks,departure,True,
Khris Middleton,203114,washington-wizards,dallas-mavericks,departure,True,
Rob Dillingham,1642265,minnesota-timberwolves,chicago-bulls,departure,True,
Taylor Hendricks,1641707,utah-jazz,memphis-grizzlies,departure,True,
Luke Kennard,1628379,atlanta-hawks,los-angeles-lakers,departure,True,
Guerschon Yabusele,1627824,new-york-knicks,chicago-bulls,departure,True,
Kobe Brown,1641738,los-angeles-clippers,indiana-pacers,departure,True,
Jaden Ivey,1631093,detroit-pistons,,departure,True,
DeJon Jarreau,1630610,memphis-grizzlies,,departure,True,
Nick Richards,1630208,phoenix-suns,chicago-bulls,departure,True,
Keon Ellis,1631165,sacramento-kings,cleveland-cavaliers,departure,True,
Walter Clayton Jr.,1642383,utah-jazz,memphis-grizzlies,departure,True,
Josh Minott,1631169,boston-celtics,brooklyn-nets,departure,True,
Cameron Payne,1626166,philadelphia-76ers,,departure,True,
Jevon Carter,1628975,chicago-bulls,orlando-magic,departure,True,
Vince Williams Jr.,1631246,memphis-grizzlies,,departure,True,
D'Angelo Russell,1626156,dallas-mavericks,washington-wizards,departure,True,
John Konchar,1629723,memphis-grizzlies,utah-jazz,departure,True,
Garrison Mathews,1629726,indiana-pacers,,departure,True,
Cole Anthony,1630175,milwaukee-bucks,,departure,True,
Kyle Anderson,203937,utah-jazz,minnesota-timberwolves,departure,True,
Ochai Agbaji,1630534,toronto-raptors,brooklyn-nets,departure,True,
Jeremiah Robinson-Earl,1630526,indiana-pacers,,departure,True,
Lonzo Ball,1628366,cleveland-cavaliers,,departure,True,
Amir Coffey,1629599,milwaukee-bucks,phoenix-suns,departure,True,
RayJ Dennis,1642484,indiana-pacers,atlanta-hawks,departure,True,
Tony Bradley,1628396,indiana-pacers,atlanta-hawks,departure,True,
Malaki Branham,1631103,washington-wizards,,departure,True,
Omer Yurtseven,1630209,golden-state-warriors,,departure,True,
Dalen Terry,1631207,chicago-bulls,philadelphia-76ers,departure,True,
AJ Johnson,1642358,washington-wizards,dallas-mavericks,departure,True,
Chris Paul,101108,los-angeles-clippers,,departure,True,
Duop Reath,1641871,portland-trail-blazers,,departure,True,
Miles Kelly,1642939,dallas-mavericks,,departure,True,
Luke Travers,1631247,cleveland-cavaliers,,departure,True,
Kobe Bufkin,1641723,los-angeles-lakers,,departure,True,
Chris Youngblood,1642959,oklahoma-city-thunder,portland-trail-blazers,departure,True,
Hunter Tyson,1641816,denver-nuggets,,departure,True,
Nigel Hayes-Davis,1628502,phoenix-suns,,departure,True,
Eric Gordon,201569,philadelphia-76ers,,departure,True,
Bobi Klintman,1641752,detroit-pistons,,departure,True,
Orlando Robinson,1631115,orlando-magic,,departure,True,
Xavier Tillman,1630214,boston-celtics,charlotte-hornets,departure,True,
Chris Boucher,1628449,boston-celtics,,departure,True,
Dario Saric,203967,sacramento-kings,,departure,True,
Anthony Davis,203076,dallas-mavericks,washington-wizards,acquisition,True,
Darius Garland,1629636,cleveland-cavaliers,los-angeles-clippers,acquisition,True,
Jaren Jackson Jr.,1628991,memphis-grizzlies,utah-jazz,acquisition,True,
Bennedict Mathurin,1631097,indiana-pacers,los-angeles-clippers,acquisition,True,
Collin Sexton,1629012,charlotte-hornets,chicago-bulls,acquisition,True,
Ivica Zubac,1627826,los-angeles-clippers,indiana-pacers,acquisition,True,
De'Andre Hunter,1629631,cleveland-cavaliers,sacramento-kings,acquisition,True,
Jonathan Kuminga,1630228,golden-state-warriors,atlanta-hawks,acquisition,True,
Rayan Rupert,1641712,portland-trail-blazers,memphis-grizzlies,acquisition,True,
Ousmane Dieng,1631172,oklahoma-city-thunder,milwaukee-bucks,acquisition,True,
Trae Young,1629027,atlanta-hawks,washington-wizards,acquisition,True,
Jared McCain,1642272,philadelphia-76ers,oklahoma-city-thunder,acquisition,True,
Jaden Hardy,1630702,dallas-mavericks,washington-wizards,acquisition,True,
Marvin Bagley III,1628963,washington-wizards,dallas-mavericks,acquisition,True,
Khris Middleton,203114,washington-wizards,dallas-mavericks,acquisition,True,
Rob Dillingham,1642265,minnesota-timberwolves,chicago-bulls,acquisition,True,
Taylor Hendricks,1641707,utah-jazz,memphis-grizzlies,acquisition,True,
Luke Kennard,1628379,atlanta-hawks,los-angeles-lakers,acquisition,True,
Guerschon Yabusele,1627824,new-york-knicks,chicago-bulls,acquisition,True,
Kobe Brown,1641738,los-angeles-clippers,indiana-pacers,acquisition,True,
Nick Richards,1630208,phoenix-suns,chicago-bulls,acquisition,True,
Keon Ellis,1631165,sacramento-kings,cleveland-cavaliers,acquisition,True,
Walter Clayton Jr.,1642383,utah-jazz,memphis-grizzlies,acquisition,True,
Josh Minott,1631169,boston-celtics,brooklyn-nets,acquisition,True,
Jevon Carter,1628975,chicago-bulls,orlando-magic,acquisition,True,
D'Angelo Russell,1626156,dallas-mavericks,washington-wizards,acquisition,True,
John Konchar,1629723,memphis-grizzlies,utah-jazz,acquisition,True,
Kyle Anderson,203937,utah-jazz,minnesota-timberwolves,acquisition,True,
Ochai Agbaji,1630534,toronto-raptors,brooklyn-nets,acquisition,True,
Amir Coffey,1629599,milwaukee-bucks,phoenix-suns,acquisition,True,
RayJ Dennis,1642484,indiana-pacers,atlanta-hawks,acquisition,True,
