team_slug,player_name,move_type,salary,contract_years,notes,impact_rating,source,transaction_date,season,round_number,overall_pick,mps_score
atlanta-hawks,Kingston Flemings,drafted,,,"Round 1, Pick 8",medium,draft,,2027,1,8,
atlanta-hawks,Narcisse Ngoy,drafted,,,"Round 2, Pick 57",low,draft,,2027,2,57,
atlanta-hawks,Zuby Ejiofor,drafted,,,"Round 1, Pick 23",low,draft,,2027,1,23,
atlanta-hawks,Luke Kennard,lost,,,Left via offseason — now on los-angeles-lakers,medium,sync,,2027,,,
atlanta-hawks,Trae Young,lost,,,Left via offseason — now on washington-wizards,medium,sync,,2027,,,
atlanta-hawks,Jonathan Kuminga,signed,,,Acquired from golden-state-warriors,medium,sync,,2027,,,
atlanta-hawks,Keshon Gilbert,signed,,,Acquired from atlanta-hawks,medium,sync,,2027,,,
atlanta-hawks,RayJ Dennis,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
atlanta-hawks,Tony Bradley,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
boston-celtics,Chris Cenac Jr.,drafted,,,"Round 1, Pick 27",low,draft,,2027,1,27,
boston-celtics,Dillon Mitchell,drafted,,,"Round 2, Pick 40",low,draft,,2027,2,40,
boston-celtics,Chris Boucher,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
boston-celtics,Josh Minott,lost,,,Left via offseason — now on brooklyn-nets,medium,sync,,2027,,,
boston-celtics,Xavier Tillman,lost,,,Left via offseason — now on charlotte-hornets,medium,sync,,2027,,,
boston-celtics,Dalano Banton,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
boston-celtics,Max Shulga,signed,,,Acquired from boston-celtics,medium,sync,,2027,,,
brooklyn-nets,Isaiah Evans,drafted,,,"Round 2, Pick 33",low,draft,,2027,2,33,
brooklyn-nets,Mikel Brown Jr.,drafted,,,"Round 1, Pick 6",medium,draft,,2027,1,6,
brooklyn-nets,Tyler Bilodeau,drafted,,,"Round 2, Pick 43",low,draft,,2027,2,43,
brooklyn-nets,Josh Minott,signed,,,Acquired from boston-celtics,medium,sync,,2027,,,
brooklyn-nets,Ochai Agbaji,signed,,,Acquired from toronto-raptors,medium,sync,,2027,,,
charlotte-hornets,Christian Anderson,drafted,,,"Round 1, Pick 18",medium,draft,,2027,1,18,
charlotte-hornets,Hannes Steinbach,drafted,,,"Round 1, Pick 14",medium,draft,,2027,1,14,
charlotte-hornets,Collin Sexton,lost,,,Left via offseason — now on chicago-bulls,medium,sync,,2027,,,
charlotte-hornets,Tosan Evbuomwan,signed,,,Acquired from new-york-knicks,medium,sync,,2027,,,
charlotte-hornets,Xavier Tillman,signed,,,Acquired from boston-celtics,medium,sync,,2027,,,
chicago-bulls,Braden Smith,drafted,,,"Round 2, Pick 38",low,draft,,2027,2,38,
chicago-bulls,Caleb Wilson,drafted,,,"Round 1, Pick 4",high,draft,,2027,1,4,
chicago-bulls,Dailyn Swain,drafted,,,"Round 1, Pick 15",medium,draft,,2027,1,15,
chicago-bulls,Vsevolod Ishchenko,drafted,,,"Round 2, Pick 56",low,draft,,2027,2,56,
chicago-bulls,Dalen Terry,lost,,,Left via offseason — now on philadelphia-76ers,medium,sync,,2027,,,
chicago-bulls,Jevon Carter,lost,,,Left via offseason — now on orlando-magic,medium,sync,,2027,,,
chicago-bulls,Collin Sexton,signed,,,Acquired from charlotte-hornets,medium,sync,,2027,,,
chicago-bulls,Guerschon Yabusele,signed,,,Acquired from new-york-knicks,medium,sync,,2027,,,
chicago-bulls,Mouhamadou Gueye,signed,,,Acquired from chicago-bulls,medium,sync,,2027,,,
chicago-bulls,Nick Richards,signed,,,Acquired from phoenix-suns,medium,sync,,2027,,,
chicago-bulls,Noa Essengue,signed,,,Acquired from chicago-bulls,medium,sync,,2027,,,
chicago-bulls,Rob Dillingham,signed,,,Acquired from minnesota-timberwolves,medium,sync,,2027,,,
cleveland-cavaliers,Alex Karaban,drafted,,,"Round 1, Pick 29",low,draft,,2027,1,29,
cleveland-cavaliers,Darius Garland,lost,,,Left via offseason — now on los-angeles-clippers,medium,sync,,2027,,,
cleveland-cavaliers,De'Andre Hunter,lost,,,Left via offseason — now on sacramento-kings,medium,sync,,2027,,,
cleveland-cavaliers,Lonzo Ball,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
cleveland-cavaliers,Luke Travers,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
cleveland-cavaliers,Keon Ellis,signed,,,Acquired from sacramento-kings,medium,sync,,2027,,,
cleveland-cavaliers,Olivier Sarr,signed,,,Acquired from cleveland-cavaliers,medium,sync,,2027,,,
dallas-mavericks,Koa Peat,drafted,,,"Round 1, Pick 30",low,draft,,2027,1,30,
dallas-mavericks,Morez Johnson,drafted,,,"Round 1, Pick 9",medium,draft,,2027,1,9,
dallas-mavericks,Tobi Lawal,drafted,,,"Round 2, Pick 48",low,draft,,2027,2,48,
dallas-mavericks,Anthony Davis,lost,,,Left via offseason — now on washington-wizards,medium,sync,,2027,,,
dallas-mavericks,D'Angelo Russell,lost,,,Left via offseason — now on washington-wizards,medium,sync,,2027,,,
dallas-mavericks,Jaden Hardy,lost,,,Left via offseason — now on washington-wizards,medium,sync,,2027,,,
dallas-mavericks,Miles Kelly,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
dallas-mavericks,AJ Johnson,signed,,,Acquired from washington-wizards,medium,sync,,2027,,,
dallas-mavericks,Dereck Lively II,signed,,,Acquired from dallas-mavericks,medium,sync,,2027,,,
dallas-mavericks,Khris Middleton,signed,,,Acquired from washington-wizards,medium,sync,,2027,,,
dallas-mavericks,Kyrie Irving,signed,,,Acquired from dallas-mavericks,medium,sync,,2027,,,
dallas-mavericks,Marvin Bagley III,signed,,,Acquired from washington-wizards,medium,sync,,2027,,,
denver-nuggets,Bryce Hopkins,drafted,,,"Round 2, Pick 49",low,draft,,2027,2,49,
denver-nuggets,Tarris Reed Jr.,drafted,,,"Round 1, Pick 26",low,draft,,2027,1,26,
denver-nuggets,Hunter Tyson,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
detroit-pistons,Karim Lopez,drafted,,,"Round 1, Pick 21",low,draft,,2027,1,21,
detroit-pistons,Bobi Klintman,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
detroit-pistons,Jaden Ivey,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
detroit-pistons,Isaac Jones,signed,,,Acquired from sacramento-kings,medium,sync,,2027,,,
golden-state-warriors,Lajae Jones,drafted,,,"Round 2, Pick 54",low,draft,,2027,2,54,
golden-state-warriors,Yaxel Lendeborg,drafted,,,"Round 1, Pick 11",medium,draft,,2027,1,11,
golden-state-warriors,Jonathan Kuminga,lost,,,Left via offseason — now on atlanta-hawks,medium,sync,,2027,,,
golden-state-warriors,Omer Yurtseven,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
golden-state-warriors,Charles Bassey,signed,,,Acquired from philadelphia-76ers,medium,sync,,2027,,,
houston-rockets,Jack Kayil,drafted,,,"Round 2, Pick 39",low,draft,,2027,2,39,
houston-rockets,Ugonna Onyenso,drafted,,,"Round 2, Pick 53",low,draft,,2027,2,53,
houston-rockets,Fred VanVleet,signed,,,Acquired from houston-rockets,medium,sync,,2027,,,
houston-rockets,Tristen Newton,signed,,,Acquired from houston-rockets,medium,sync,,2027,,,
indiana-pacers,Bennedict Mathurin,lost,,,Left via offseason — now on los-angeles-clippers,medium,sync,,2027,,,
indiana-pacers,Garrison Mathews,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
indiana-pacers,Jeremiah Robinson-Earl,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
indiana-pacers,RayJ Dennis,lost,,,Left via offseason — now on atlanta-hawks,medium,sync,,2027,,,
indiana-pacers,Tony Bradley,lost,,,Left via offseason — now on atlanta-hawks,medium,sync,,2027,,,
indiana-pacers,Ivica Zubac,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
indiana-pacers,Kobe Brown,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
indiana-pacers,Tyrese Haliburton,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
la-clippers,Baba Miller,drafted,,,"Round 2, Pick 36",low,draft,,2027,2,36,
la-clippers,Henri Veesaar,drafted,,,"Round 2, Pick 52",low,draft,,2027,2,52,
la-clippers,Keaton Wagler,drafted,,,"Round 1, Pick 5",high,draft,,2027,1,5,
la-clippers,Chris Paul,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
la-clippers,Ivica Zubac,lost,,,Left via offseason — now on indiana-pacers,medium,sync,,2027,,,
la-clippers,Kobe Brown,lost,,,Left via offseason — now on indiana-pacers,medium,sync,,2027,,,
la-clippers,Bennedict Mathurin,signed,,,Acquired from indiana-pacers,medium,sync,,2027,,,
la-clippers,Bradley Beal,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
la-clippers,Darius Garland,signed,,,Acquired from cleveland-cavaliers,medium,sync,,2027,,,
la-clippers,Norchad Omier,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
la-clippers,Sean Pedulla,signed,,,Acquired from los-angeles-clippers,medium,sync,,2027,,,
los-angeles-lakers,Sergio De Larrea,drafted,,,"Round 1, Pick 25",low,draft,,2027,1,25,
los-angeles-lakers,Kobe Bufkin,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
los-angeles-lakers,Luke Kennard,signed,,,Acquired from atlanta-hawks,medium,sync,,2027,,,
memphis-grizzlies,Bennett Stirtz,drafted,,,"Round 1, Pick 16",medium,draft,,2027,1,16,
memphis-grizzlies,Cameron Boozer,drafted,,,"Round 1, Pick 3",high,draft,,2027,1,3,
memphis-grizzlies,Richie Saunders,drafted,,,"Round 2, Pick 32",low,draft,,2027,2,32,
memphis-grizzlies,DeJon Jarreau,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
memphis-grizzlies,Jaren Jackson Jr.,lost,,,Left via offseason — now on utah-jazz,medium,sync,,2027,,,
memphis-grizzlies,John Konchar,lost,,,Left via offseason — now on utah-jazz,medium,sync,,2027,,,
memphis-grizzlies,Tyler Burton,lost,,,Left via offseason — now on no NBA roster,medium,sync,,2027,,,
