player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Luka Dončić,1629029,LAL,-1.848,3.487,-5.335,5.669,5.247,0.422,65,35.76015625
Shai Gilgeous-Alexander,1628983,OKC,9.804,4.733,5.071,9.554,5.242,4.312,68,33.220098039215685
Anthony Edwards,1630162,MIN,6.101,3.581,2.52,3.526,2.786,0.74,61,35.02650273224044
Tyrese Maxey,1630178,PHI,6.526,0.174,6.352,3.511,2.125,1.386,70,38.01690476190476
Kawhi Leonard,202695,LAC,3.089,6.482,-3.392,6.991,4.804,2.187,65,32.073076923076925
Nikola Jokić,203999,DEN,5.74,2.164,3.576,5.58,5.498,0.082,65,34.84410256410256
Giannis Antetokounmpo,203507,MIL,8.741,8.135,0.607,6.843,6.507,0.336,36,28.867592592592594
Donovan Mitchell,1628378,CLE,5.007,2.328,2.679,4.936,3.931,1.005,71,33.45809523809524
Jaylen Brown,1627759,BOS,0.745,5.692,-4.948,3.415,1.945,1.47,76,34.40633802816901
Stephen Curry,201939,GSW,3.51,5.909,-2.399,4.524,3.918,0.606,43,30.901162790697676
Joel Embiid,203954,PHI,12.488,9.522,2.966,4.701,3.544,1.157,39,31.596491228070178
Devin Booker,1626164,PHX,3.032,-5.468,8.5,3.016,1.244,1.772,64,33.53854166666667
Jalen Brunson,1628973,NYK,-5.722,-4.429,-1.293,3.639,3.067,0.572,74,34.9981981981982
Kevin Durant,201142,HOU,-3.092,-2.254,-0.838,2.653,1.129,1.524,78,36.40811965811966
Lauri Markkanen,1628374,UTA,11.264,0.09,11.174,2.059,1.875,0.184,44,34.348015873015875
James Harden,201935,LAC,0.124,-0.296,0.42,-2.317,-0.799,-1.518,44,35.438257575757575
Victor Wembanyama,1641705,SAS,14.047,6.587,7.46,8.737,3.726,5.011,64,29.15078125
Jamal Murray,1627750,DEN,5.601,6.063,-0.462,4.253,5.127,-0.874,77,35.358666666666664
Cade Cunningham,1630595,DET,1.83,-0.138,1.968,5.213,2.408,2.805,65,33.932552083333334
Michael Porter Jr.,1629008,BKN,7.181,5.783,1.398,0.671,1.495,-0.824,54,32.47403846153846
Austin Reaves,1630559,LAL,9.479,2.432,7.046,4.248,2.857,1.391,52,34.54281045751634
Keyonte George,1641718,UTA,0.961,1.063,-0.103,-2.013,0.767,-2.78,57,33.07592592592593
Jaren Jackson Jr.,1628991,UTA,-4.336,-7.954,3.618,0.49,-1.495,1.985,3,24.061111111111114
Paolo Banchero,1631094,ORL,-0.931,-2.456,1.525,1.189,0.097,1.092,72,34.74560185185185
Jayson Tatum,1628369,BOS,5.862,2.764,3.099,5.229,3.277,1.952,16,32.614583333333336
Jalen Johnson,1630552,ATL,9.549,5.433,4.116,3.296,1.269,2.027,75,35.16087962962963
Trey Murphy III,1630530,NOP,6.009,3.157,2.852,0.348,0.235,0.113,67,35.464141414141416
Pascal Siakam,1627783,IND,13.115,5.939,7.176,1.23,1.42,-0.19,70,33.17177419354839
Julius Randle,203944,MIN,-0.994,-0.81,-0.183,3.364,2.43,0.934,79,33.0415611814346
Cooper Flagg,1642843,DAL,0.339,2.2,-1.861,0.136,-0.206,0.342,70,33.48357142857143
Brandon Ingram,1627742,TOR,7.359,2.337,5.021,0.647,-0.245,0.892,79,33.816233766233765
LeBron James,2544,LAL,2.576,1.525,1.051,3.615,2.344,1.271,60,33.15083333333333
Franz Wagner,1630532,ORL,5.897,3.897,2.0,3.249,1.28,1.969,34,29.97058823529412
James Harden,201935,CLE,0.124,-0.296,0.42,-2.317,-0.799,-1.518,26,33.815384615384616
Anthony Davis,203076,DAL,-0.414,-1.286,0.871,0.008,-0.735,0.743,20,31.28083333333333
Zion Williamson,1629627,NOP,-0.176,2.917,-3.094,0.33,0.03,0.3,64,29.69489247311828
Nickeil Alexander-Walker,1629638,ATL,3.773,0.354,3.42,3.354,1.539,1.815,80,33.37435897435898
Brandon Miller,1641706,CHA,6.738,1.677,5.061,3.783,2.195,1.588,65,30.282307692307693
Alperen Sengun,1630578,HOU,7.425,5.95,1.475,1.479,0.736,0.743,73,33.30162037037037
Desmond Bane,1630217,ORL,9.963,4.648,5.315,2.025,0.325,1.7,82,33.610569105691056
LaMelo Ball,1630163,CHA,9.306,9.408,-0.102,4.598,4.437,0.161,72,28.02037037037037
Darius Garland,1629636,LAC,1.714,-0.081,1.795,0.761,1.195,-0.434,19,29.069298245614036
Dillon Brooks,1628415,PHX,-2.126,-1.413,-0.713,0.687,-0.415,1.102,57,30.386309523809523
Jimmy Butler III,202710,GSW,9.53,6.504,3.026,5.652,3.228,2.424,39,31.096929824561403
Deni Avdija,1630166,POR,9.097,10.429,-1.332,1.587,1.603,-0.016,82,33.32373737373737
Karl-Anthony Towns,1626157,NYK,3.297,-0.449,3.746,2.309,1.155,1.154,77,30.95711111111111
Bam Adebayo,1628389,MIA,9.142,5.344,3.799,3.663,1.955,1.708,76,32.39337899543379
Jaren Jackson Jr.,1628991,MEM,-4.336,-7.954,3.618,0.49,-1.495,1.985,45,30.72148148148148
RJ Barrett,1629628,TOR,3.732,3.124,0.607,4.007,2.996,1.011,58,30.276315789473685
CJ McCollum,203468,WAS,3.712,0.147,3.566,1.166,-0.029,1.195,35,30.90952380952381
Zach LaVine,203897,SAC,-6.659,-2.422,-4.237,-3.86,-2.073,-1.787,40,31.39188034188034
CJ McCollum,203468,ATL,3.712,0.147,3.566,1.166,-0.029,1.195,41,28.819918699186992
De'Aaron Fox,1628368,SAS,5.541,5.865,-0.324,5.053,3.233,1.82,72,30.98726851851852
Kon Knueppel,1642851,CHA,8.534,7.008,1.526,2.933,2.265,0.668,81,31.490534979423867
Ja Morant,1629630,MEM,-3.463,-2.507,-0.956,-1.868,-2.423,0.555,21,28.425
Jalen Duren,1631105,DET,1.046,0.496,0.55,5.557,2.368,3.189,74,28.22642857142857
DeMar DeRozan,201942,SAC,-0.43,-1.669,1.239,-3.047,-0.835,-2.212,77,31.240692640692643
Scottie Barnes,1630567,TOR,4.756,-1.804,6.56,2.929,1.037,1.892,80,33.509791666666665
Darius Garland,1629636,CLE,1.714,-0.081,1.795,0.761,1.195,-0.434,26,30.460897435897436
Evan Mobley,1630596,CLE,3.971,2.822,1.149,3.095,1.857,1.238,66,31.913076923076922
Amen Thompson,1641708,HOU,7.646,2.48,5.166,3.927,1.52,2.407,81,37.38248945147679
Coby White,1629632,CHI,-0.422,1.283,-1.705,0.652,1.007,-0.355,31,29.08390804597701
Bennedict Mathurin,1631097,LAC,-4.632,-5.266,0.635,-1.609,-1.729,0.12,26,28.04230769230769
Saddiq Bey,1630180,NOP,-0.584,-4.348,3.764,0.882,0.907,-0.025,73,31.18935185185185
Bennedict Mathurin,1631097,IND,-4.632,-5.266,0.635,-1.609,-1.729,0.12,29,31.817857142857143
Jalen Williams,1631114,OKC,8.207,2.484,5.723,5.711,2.053,3.658,33,28.363131313131312
Ryan Rollins,1631157,MIL,-2.397,-0.52,-1.877,1.827,1.906,-0.079,75,32.101126126126125
Nikola Vučević,202696,CHI,-3.498,0.19,-3.688,-1.479,-0.577,-0.902,48,30.839930555555554
Chet Holmgren,1631096,OKC,6.453,-0.612,7.065,7.368,1.978,5.39,70,28.94589371980676
Payton Pritchard,1630202,BOS,3.535,0.086,3.449,4.516,2.973,1.543,80,32.348734177215185
Jalen Green,1630224,PHX,4.354,1.13,3.224,0.088,-0.955,1.043,34,25.885416666666668
Stephon Castle,1642264,SAS,4.082,-4.51,8.592,4.084,1.459,2.625,68,29.96740196078431
Kevin Porter Jr.,1629645,MIL,1.593,1.948,-0.355,0.363,0.636,-0.273,40,33.184649122807016
Grayson Allen,1628960,PHX,-5.346,-2.227,-3.119,2.056,1.287,0.769,51,28.770588235294117
Norman Powell,1626181,MIA,1.604,2.808,-1.205,1.068,0.44,0.628,77,29.602298850574712
OG Anunoby,1628384,NYK,4.818,2.625,2.193,3.279,1.733,1.546,68,33.191542288557216
Dariq Whitehead,1641727,MEM,0.918,0.354,0.564,,,,6,30.469444444444445
Miles Bridges,1628970,CHA,-1.598,0.541,-2.139,2.143,1.844,0.299,81,31.003246753246753
Collin Sexton,1629012,CHI,-6.245,-5.936,-0.309,-3.741,-2.744,-0.997,28,25.987820512820512
Matas Buzelis,1641824,CHI,0.095,-2.675,2.77,-1.095,-0.967,-0.128,78,29.198701298701298
VJ Edgecombe,1642845,PHI,-1.568,2.259,-3.827,1.918,0.664,1.254,75,34.977555555555554
Derrick White,1628401,BOS,12.027,3.487,8.54,5.496,2.39,3.106,79,34.09047619047619
Immanuel Quickley,1630193,TOR,6.335,3.809,2.525,3.447,1.988,1.459,72,31.876190476190477
Josh Giddey,1630581,CHI,0.21,-1.787,1.997,-0.956,-0.541,-0.415,60,32.062345679012346
Jabari Smith Jr.,1631095,HOU,3.705,1.488,2.216,3.942,1.467,2.475,80,35.13463203463204
Russell Westbrook,201566,SAC,-0.526,-0.519,-0.007,-3.348,-1.681,-1.667,64,28.946614583333332
Jarrett Allen,1628386,CLE,11.869,4.975,6.894,4.331,3.162,1.169,57,27.12827380952381
Anthony Black,1641710,ORL,-0.103,-0.801,0.698,1.137,-0.147,1.284,64,29.8453125
Kennedy Chandler,1631113,UTA,0.79,0.107,0.683,,,,11,32.2939393939394
Andrew Nembhard,1629614,IND,1.678,5.693,-4.015,-1.519,-0.205,-1.314,65,31.32690058479532
Jaden McDaniels,1630183,MIN,-2.765,-5.886,3.121,2.47,1.013,1.457,73,31.731963470319634
Aaron Gordon,203932,DEN,9.691,6.533,3.158,5.959,4.785,1.174,40,27.915740740740738
Paul George,202331,PHI,-2.765,0.277,-3.042,3.314,1.197,2.117,44,30.676126126126125
Dejounte Murray,1627749,NOP,-1.018,-0.773,-0.245,0.604,-0.253,0.857,16,27.81547619047619
Onyeka Okongwu,1630168,ATL,2.251,0.388,1.864,2.355,0.551,1.804,78,31.040315315315315
Ayo Dosunmu,1630245,CHI,-0.289,-0.943,0.654,-1.086,-0.925,-0.161,47,26.382962962962964
