nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2023,LAL,PF,35.526,3.843,3.672,0.171,7.67,Shot Creator,Helper
101108,Chris Paul,2023,PHO,PG,32.01,2.667,2.137,0.531,6.065,Primary Ball Handler,Low Activity
200752,Rudy Gay,2023,UTA,PF,14.564,-1.882,-1.864,-0.017,0.292,Shot Creator,Helper
200768,Kyle Lowry,2023,MIA,PG,31.232,1.074,0.242,0.832,3.811,Primary Ball Handler,Helper
200782,P.J. Tucker,2023,PHI,PF,25.602,-2.25,-2.914,0.663,0.249,Stationary Shooter,Helper
201142,Kevin Durant,2023,BRK/PHO,PF,35.569,3.104,2.861,0.243,5.815,Shot Creator,Wing Stopper
201143,Al Horford,2023,BOS,C,30.499,0.383,-0.588,0.971,3.427,Stationary Shooter,Helper
201144,Mike Conley,2023,UTA/MIN,PG,30.27,1.866,1.79,0.076,5.506,Primary Ball Handler,Point of Attack
201145,Jeff Green,2023,DEN,PF,19.484,-2.338,-1.153,-1.185,0.082,Versatile Big,Helper
201152,Thaddeus Young,2023,TOR,PF,14.73,-1.654,-1.664,0.01,0.398,Post Scorer,Helper
201565,Derrick Rose,2023,NYK,PG,12.514,-2.274,-1.024,-1.251,0.039,Secondary Ball Handler,Point of Attack
201566,Russell Westbrook,2023,LAL/LAC,PG,29.122,-0.014,0.813,-0.827,3.259,Shot Creator,Helper
201567,Kevin Love,2023,CLE/MIA,PF,19.993,1.003,-0.081,1.084,2.695,Movement Shooter,Helper
201569,Eric Gordon,2023,HOU/LAC,SG,28.484,-1.682,-0.894,-0.788,0.95,Secondary Ball Handler,Wing Stopper
201572,Brook Lopez,2023,MIL,C,30.418,2.515,0.274,2.241,7.396,Versatile Big,Anchor Big
201587,Nicolas Batum,2023,LAC,PF,21.916,0.118,-0.463,0.581,2.763,Stationary Shooter,Helper
201588,George Hill,2023,MIL/IND,SG,18.116,-1.588,-1.266,-0.321,0.452,Secondary Ball Handler,Point of Attack
201599,Deandre Jordan,2023,DEN,C,15.022,-2.395,-2.876,0.48,0.023,Roll + Cut Big,Anchor Big
201609,Goran Dragic,2023,CHI/MIL,PG,15.001,-2.479,-0.899,-1.581,-0.01,Primary Ball Handler,Low Activity
201933,Blake Griffin,2023,BOS,C,13.876,0.18,-0.897,1.077,0.942,Stretch Big,Helper
201935,James Harden,2023,PHI,PG,36.811,3.466,3.525,-0.058,7.896,Shot Creator,Helper
201937,Ricky Rubio,2023,CLE,PG,17.155,-0.047,-0.22,0.173,0.856,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2023,GSW,PG,34.665,3.707,3.904,-0.197,7.462,Primary Ball Handler,Chaser
201942,Demar Derozan,2023,CHI,SF,36.238,1.762,1.314,0.448,7.107,Shot Creator,Low Activity
201950,Jrue Holiday,2023,MIL,PG,32.576,2.631,2.253,0.378,6.96,Shot Creator,Point of Attack
201976,Patrick Beverley,2023,LAL/CHI,PG,27.112,0.266,-1.445,1.711,3.106,Primary Ball Handler,Point of Attack
201988,Patty Mills,2023,BRK,PG,14.166,-2.444,-0.302,-2.142,0.006,Movement Shooter,Low Activity
202083,Wesley Matthews,2023,MIL,SF,15.779,-1.802,-1.313,-0.489,0.335,Movement Shooter,Wing Stopper
202322,John Wall,2023,LAC,PG,22.199,-1.052,-0.304,-0.748,0.663,Shot Creator,Chaser
202330,Gordon Hayward,2023,CHO,SF,31.538,-1.309,-1.247,-0.062,1.131,Secondary Ball Handler,Wing Stopper
202331,Paul George,2023,LAC,SF,34.625,2.587,1.708,0.879,6.131,Shot Creator,Wing Stopper
202681,Kyrie Irving,2023,BRK/DAL,SG,37.341,1.865,3.005,-1.141,6.08,Shot Creator,Point of Attack
202685,Jonas Valančiūnas,2023,NOP,C,24.916,0.359,0.027,0.332,3.48,Post Scorer,Mobile Big
202687,Bismack Biyombo,2023,PHO,C,14.329,-0.054,-2.212,2.158,1.318,Post Scorer,Anchor Big
202691,Klay Thompson,2023,GSW,SF,33.027,0.035,0.678,-0.643,3.563,Off Screen Shooter,Wing Stopper
202692,Alec Burks,2023,DET,SG,22.008,-0.136,0.638,-0.774,1.634,Secondary Ball Handler,Chaser
202693,Markieff Morris,2023,BRK/DAL,PF,10.145,-1.477,-1.065,-0.412,0.217,Stationary Shooter,Mobile Big
202694,Marcus Morris Sr.,2023,LAC,PF,28.081,-0.466,-1.197,0.731,2.277,Shot Creator,Helper
202695,Kawhi Leonard,2023,LAC,SF,33.608,4.448,3.986,0.463,7.487,Shot Creator,Helper
202696,Nikola Vučević,2023,CHI,C,33.493,0.783,-0.141,0.924,5.59,Versatile Big,Mobile Big
202699,Tobias Harris,2023,PHI,SF,32.917,0.073,0.188,-0.115,3.868,Shot Creator,Helper
202704,Reggie Jackson,2023,LAC/DEN,PG,24.366,-0.595,-0.402,-0.194,1.932,Primary Ball Handler,Point of Attack
202709,Cory Joseph,2023,DET,PG,19.796,-1.477,-0.162,-1.315,0.751,Primary Ball Handler,Point of Attack
202710,Jimmy Butler Iii,2023,MIA,PF,33.409,5.978,4.098,1.88,11.032,Shot Creator,Wing Stopper
