nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2024,LAL,PF,34.731,3.047,3.27,-0.223,8.476,Shot Creator,Helper
101108,Chris Paul,2024,GSW,PG,26.396,0.475,0.339,0.135,2.817,Primary Ball Handler,Chaser
200768,Kyle Lowry,2024,MIA/PHI,PG,28.163,-0.328,-1.191,0.863,2.256,Primary Ball Handler,Chaser
200782,P.J. Tucker,2024,PHI/LAC,PF,15.685,-3.074,-3.036,-0.038,-0.18,Stationary Shooter,Helper
201142,Kevin Durant,2024,PHO,PF,37.21,2.477,2.582,-0.105,8.62,Shot Creator,Wing Stopper
201143,Al Horford,2024,BOS,C,26.766,-0.006,-0.869,0.863,2.676,Stationary Shooter,Helper
201144,Mike Conley,2024,MIN,PG,28.862,1.314,1.03,0.284,5.191,Primary Ball Handler,Chaser
201145,Jeff Green,2024,HOU,PF,16.76,-1.677,-1.047,-0.63,0.641,Stretch Big,Helper
201152,Thaddeus Young,2024,TOR/PHO,PF,13.318,-1.044,-0.805,-0.239,0.389,Roll + Cut Big,Mobile Big
201565,Derrick Rose,2024,MEM,PG,16.638,-1.891,-0.983,-0.908,0.142,Slasher,Point of Attack
201566,Russell Westbrook,2024,LAC,PG,22.481,-0.074,0.564,-0.638,2.285,Shot Creator,Helper
201567,Kevin Love,2024,MIA,PF,16.806,2.859,2.029,0.83,3.072,Movement Shooter,Mobile Big
201568,Danilo Gallinari,2024,WAS/DET/MIL,SF,12.844,-0.76,-0.64,-0.12,0.67,Versatile Big,Mobile Big
201569,Eric Gordon,2024,PHO,SG,27.832,-1.622,-0.282,-1.34,0.992,Stationary Shooter,Chaser
201572,Brook Lopez,2024,MIL,C,30.523,0.905,-0.35,1.255,5.089,Stretch Big,Anchor Big
201587,Nicolas Batum,2024,LAC/PHI,PF,25.491,-1.427,-1.533,0.106,0.988,Stationary Shooter,Helper
201599,Deandre Jordan,2024,DEN,C,10.992,-1.301,-1.449,0.148,0.287,Athletic Finisher,Anchor Big
201935,James Harden,2024,LAC,PG,34.302,3.494,3.127,0.367,9.158,Shot Creator,Helper
201939,Stephen Curry,2024,GSW,PG,32.723,2.651,3.775,-1.124,7.738,Primary Ball Handler,Chaser
201942,Demar Derozan,2024,CHI,SF,37.83,1.307,1.645,-0.338,7.059,Shot Creator,Low Activity
201950,Jrue Holiday,2024,BOS,PG,32.801,0.541,0,0.541,4.259,Shot Creator,Point of Attack
201959,Taj Gibson,2024,NYK/DET,PF,10.225,-1.478,-1.982,0.504,0.126,Post Scorer,Mobile Big
201976,Patrick Beverley,2024,PHI/MIL,PG,20.034,-0.788,-0.54,-0.248,1.53,Primary Ball Handler,Point of Attack
201988,Patty Mills,2024,ATL/MIA,PG,12.979,-0.88,-0.753,-0.127,0.411,Movement Shooter,Chaser
202066,Garrett Temple,2024,TOR,SG,10.694,-1.826,-1.459,-0.367,0.115,Movement Shooter,Helper
202083,Wesley Matthews,2024,ATL,SG,11.469,-1.324,-1.872,0.549,0.293,Movement Shooter,Wing Stopper
202330,Gordon Hayward,2024,CHO/OKC,SF,24.418,-1.48,-0.973,-0.507,0.763,Secondary Ball Handler,Wing Stopper
202331,Paul George,2024,LAC,PF,33.808,2.447,1.995,0.451,7.681,Shot Creator,Helper
202397,Ish Smith,2024,CHO,PG,17.229,-3.637,-3.238,-0.399,-0.527,Slasher,Point of Attack
202681,Kyrie Irving,2024,DAL,SG,34.995,3.821,3.906,-0.085,7.924,Shot Creator,Chaser
202684,Tristan Thompson,2024,CLE,C,11.202,-0.846,-0.863,0.017,0.554,Roll + Cut Big,Mobile Big
202685,Jonas Valančiūnas,2024,NOP,C,23.387,1.357,0.702,0.654,4.59,Post Scorer,Mobile Big
202687,Bismack Biyombo,2024,MEM/OKC,C,19.789,-2.089,-3.348,1.259,0.185,Athletic Finisher,Mobile Big
202691,Klay Thompson,2024,GSW,SF,29.694,0.365,1.152,-0.787,4.049,Off Screen Shooter,Helper
202692,Alec Burks,2024,DET/NYK,SG,18.355,-1.504,0.104,-1.607,0.725,Secondary Ball Handler,Chaser
202694,Marcus Morris Sr.,2024,PHI/CLE,PF,16.673,-1.933,-1.28,-0.653,0.27,Movement Shooter,Helper
202695,Kawhi Leonard,2024,LAC,SF,34.267,3.54,2.739,0.801,8.704,Shot Creator,Wing Stopper
202696,Nikola Vučević,2024,CHI,C,34.336,0.657,0.627,0.03,5.101,Post Scorer,Mobile Big
202699,Tobias Harris,2024,PHI,PF,33.825,0.954,0.776,0.178,5.071,Shot Creator,Wing Stopper
202704,Reggie Jackson,2024,DEN,PG,22.157,-2.177,-0.556,-1.621,0.327,Primary Ball Handler,Point of Attack
202709,Cory Joseph,2024,GSW,PG,11.38,-1.561,-1.405,-0.156,0.166,Movement Shooter,Chaser
202710,Jimmy Butler Iii,2024,MIA,PF,34.037,2.666,2.063,0.603,6.545,Shot Creator,Wing Stopper
202711,Bojan Bogdanović,2024,DET/NYK,PF,25.929,-1.876,-0.269,-1.607,0.541,Off Screen Shooter,Low Activity
202722,Davis Bertans,2024,OKC/CHO,PF,15.675,-1.104,-0.759,-0.346,0.572,Off Screen Shooter,Helper
203076,Anthony Davis,2024,LAL,C,35.102,4.781,2.036,2.745,11.923,Post Scorer,Anchor Big
