_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2026,LAL,SF,33.15,2.491,2.095,0.396,6.154,Shot Creator,Helper
101108,Chris Paul,2026,LAC,PG,14.221,-1.196,-1.015,-0.181,0.18,Primary Ball Handler,Chaser
201142,Kevin Durant,2026,HOU,SF,36.404,2.377,2.519,-0.142,8.586,Shot Creator,Helper
201143,Al Horford,2026,GSW,C,21.534,0.952,-0.187,1.139,2.072,Versatile Big,Mobile Big
201144,Mike Conley,2026,MIN,PG,18.355,-0.753,-0.913,0.159,1.06,Primary Ball Handler,Point of Attack
201566,Russell Westbrook,2026,SAC,SF,28.945,-0.791,-0.146,-0.645,1.937,Shot Creator,Wing Stopper
201567,Kevin Love,2026,UTA,PF,16.56,-0.142,0.335,-0.477,0.89,Movement Shooter,Helper
201572,Brook Lopez,2026,LAC,C,21.802,-0.105,-1.182,1.077,2.413,Versatile Big,Mobile Big
201587,Nicolas Batum,2026,LAC,PF,17.492,-2.328,-2.151,-0.177,0.116,Stationary Shooter,Helper
201935,James Harden,2026,LAC/CLE,PG,34.835,2.107,3.304,-1.197,6.967,Shot Creator,Helper
201939,Stephen Curry,2026,GSW,PG,30.897,3.143,4.294,-1.15,4.639,Primary Ball Handler,Low Activity
201942,Demar Derozan,2026,SAC,PF,31.239,-1.154,0.113,-1.267,1.968,Shot Creator,Low Activity
201950,Jrue Holiday,2026,POR,PG,29.44,1.49,0.806,0.684,3.861,Shot Creator,Helper
202331,Paul George,2026,PHI,PF,30.675,1.746,1.277,0.469,2.989,Shot Creator,Helper
202685,Jonas Valanciunas,2026,DEN,C,13.4,-0.288,0.167,-0.455,1.185,Post Scorer,Anchor Big
202691,Klay Thompson,2026,DAL,SF,21.69,-2.461,-0.445,-2.016,0.011,Off Screen Shooter,Chaser
202695,Kawhi Leonard,2026,LAC,SF,32.072,5.041,4.835,0.205,9.616,Shot Creator,Helper
