player_name,team,season,games_played,minutes,PER,USG_pct,WS,WS48,BPM,OBPM,DBPM,VORP
Mikal Bridges,2TM,2023,83.0,2963.0,16.8,22.6,7.5,0.121,1.7,1.5,0.2,2.8
Anthony Edwards,MIN,2023,79.0,2842.0,17.4,29.9,3.8,0.064,1.0,1.0,0.0,2.1
Zach LaVine,CHI,2023,77.0,2768.0,19.0,28.3,7.1,0.123,1.9,2.7,-0.7,2.7
Nikola Vučević,CHI,2023,82.0,2746.0,19.1,21.9,8.3,0.145,2.7,1.9,0.7,3.2
Julius Randle,NYK,2023,77.0,2737.0,20.3,29.5,8.1,0.142,3.7,3.9,-0.2,3.9
Domantas Sabonis,SAC,2023,79.0,2736.0,23.5,21.3,12.6,0.221,5.8,4.1,1.8,5.4
Jayson Tatum,BOS,2023,74.0,2732.0,23.7,32.7,10.5,0.185,5.5,4.8,0.7,5.1
Spencer Dinwiddie,2TM,2023,79.0,2725.0,16.0,22.1,6.3,0.111,0.7,1.6,-0.9,1.8
Evan Mobley,CLE,2023,79.0,2715.0,17.9,20.2,8.5,0.151,1.7,0.0,1.6,2.5
Dejounte Murray,ATL,2023,74.0,2693.0,17.0,24.4,4.7,0.084,1.0,1.1,0.0,2.1
DeMar DeRozan,CHI,2023,74.0,2682.0,20.6,27.8,8.5,0.153,2.0,1.7,0.3,2.6
Scottie Barnes,TOR,2023,77.0,2678.0,15.5,20.3,5.0,0.09,0.4,0.5,-0.1,1.6
Harrison Barnes,SAC,2023,82.0,2662.0,14.1,17.1,6.5,0.118,-1.0,0.5,-1.5,0.7
Pascal Siakam,TOR,2023,71.0,2652.0,20.3,27.2,7.8,0.141,3.1,3.3,-0.1,3.4
CJ McCollum,NOP,2023,75.0,2649.0,15.6,26.4,4.3,0.078,0.8,1.5,-0.7,1.9
Franz Wagner,ORL,2023,80.0,2609.0,15.9,23.5,5.4,0.099,-0.1,0.4,-0.5,1.3
Jalen Green,HOU,2023,76.0,2602.0,14.5,28.1,1.8,0.034,-2.1,0.5,-2.6,0.0
Bam Adebayo,MIA,2023,75.0,2598.0,20.1,25.2,7.4,0.137,1.5,0.8,0.8,2.3
Trae Young,ATL,2023,73.0,2541.0,22.0,32.6,6.7,0.126,3.3,5.3,-2.0,3.4
Fred VanVleet,TOR,2023,69.0,2535.0,17.0,23.2,6.5,0.123,2.5,2.0,0.5,2.9
Buddy Hield,IND,2023,80.0,2482.0,15.4,20.8,4.4,0.085,1.9,2.5,-0.6,2.4
RJ Barrett,NYK,2023,73.0,2475.0,12.9,26.2,2.2,0.043,-3.1,-1.2,-1.9,-0.7
Jordan Poole,GSW,2023,82.0,2458.0,14.6,29.2,3.2,0.063,-1.9,-0.1,-1.8,0.1
