player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Luka Dončić,5,23,2324.41015625,0.368,3.921,4.962,4.684,0.278,9.3,-5.379,-4.338
Shai Gilgeous-Alexander,30,18,178.15,0.323,8.485,9.064,4.66,4.404,11.7,-3.215,-2.636
Anthony Edwards,292,17,168.68333333333334,0.309,2.599,3.258,2.6,0.658,4.5,-1.901,-1.242
Tyrese Maxey,71,4,359.8833333333333,0.286,4.542,3.188,1.903,1.285,5.4,-0.858,-2.212
Kawhi Leonard,176,22,2084.75,0.326,5.82,6.811,4.36,2.451,8.0,-2.18,-1.189
Nikola Jokić,389,16,237.05,0.289,3.683,4.96,4.948,0.012,14.2,-10.517,-9.24
Giannis Antetokounmpo,330,10,1039.2333333333333,0.358,4.253,6.556,6.025,0.531,9.5,-5.247,-2.944
Donovan Mitchell,97,7,280.71666666666664,0.311,4.922,4.888,3.739,1.149,5.1,-0.178,-0.212
Jaylen Brown,53,1,248.8666666666667,0.351,4.298,3.589,2.087,1.502,3.3,0.998,0.289
Stephen Curry,17,21,1328.75,0.308,3.582,4.338,3.808,0.53,5.4,-1.818,-1.062
Joel Embiid,69,4,170.76666666666665,0.336,4.58,4.508,3.294,1.214,4.9,-0.32,-0.392
Devin Booker,248,24,153.11666666666667,0.307,3.475,2.93,1.176,1.754,2.2,1.275,0.73
Kevin Durant,41,27,122.95,0.263,4.015,2.78,1.409,1.371,4.5,-0.485,-1.72
Jalen Brunson,84,3,2589.8666666666672,0.296,3.031,3.32,2.82,0.5,3.1,-0.069,0.22
Lauri Markkanen,160,20,1511.3126984126984,0.269,2.54,1.684,1.525,0.159,2.6,-0.06,-0.916
James Harden,179,7,879.2,0.279,-1.724,-2.329,-0.45,-1.879,4.0,-5.724,-6.329
Victor Wembanyama,375,30,178.2,0.316,7.239,8.409,3.448,4.961,10.7,-3.461,-2.291
Jamal Murray,391,16,238.16666666666666,0.269,2.652,3.818,4.874,-1.056,4.1,-1.448,-0.282
Cade Cunningham,149,8,2205.6158854166665,0.296,5.941,5.243,2.277,2.966,6.3,-0.359,-1.057
Michael Porter Jr.,231,2,1753.598076923077,0.292,0.809,0.528,1.388,-0.86,3.0,-2.191,-2.472
Austin Reaves,1,23,167.16666666666666,0.258,3.463,4.233,2.91,1.323,2.8,0.663,1.433
Keyonte George,164,20,1885.327777777778,0.275,-1.969,-2.267,0.72,-2.987,0.9,-2.869,-3.167
