player_name,team,minutes,BPR_z,consensus_z,divergence,BPR,BPM,LEBRON,RAPTOR_total,PER
Nikola Jokić,DEN,2265.0,1.019,4.461,-3.442,5.74,14.2,7.367,14.572,32.3
Luka Dončić,LAL,2289.0,-0.582,2.833,-3.414,-1.848,9.3,5.176,6.383,27.9
Reed Sheppard,HOU,2147.0,-2.717,0.224,-2.941,-11.973,2.7,-1.786,,15.7
Nique Clifford,SAC,1882.0,1.942,-0.993,2.934,10.116,-4.9,-1.112,,9.0
Ace Bailey,UTA,1988.0,-3.799,-0.982,-2.817,-17.1,-4.4,-2.455,,11.6
Gary Payton II,GSW,1142.0,-1.606,1.176,-2.782,-6.703,1.9,1.664,6.022,18.3
Jalen Brunson,NYK,2590.0,-1.399,1.108,-2.506,-5.722,3.1,2.077,2.116,20.1
Kawhi Leonard,LAC,2085.0,0.46,2.959,-2.499,3.089,8.0,5.041,,27.9
Kristaps Porziņģis,ATL,413.0,-1.251,1.245,-2.496,-5.021,3.7,2.679,1.86,20.6
Davion Mitchell,MIA,2000.0,2.163,-0.245,2.408,11.167,-0.9,-0.086,-1.213,12.1
Kevin Durant,HOU,2840.0,-0.844,1.518,-2.362,-3.092,4.5,2.377,4.502,21.1
Shaedon Sharpe,POR,1471.0,-2.489,-0.148,-2.341,-10.89,-1.4,-1.205,,15.3
Javon Small,MEM,830.0,-2.01,0.316,-2.326,-8.618,1.0,-0.414,,16.1
Jalen Duren,DET,1976.0,0.029,2.307,-2.278,1.046,5.0,3.992,,26.1
Yang Hansen,POR,300.0,-0.443,-2.626,2.184,-1.188,-9.5,,,3.7
Hugo González,BOS,1084.0,1.817,-0.355,2.172,9.524,-1.5,-0.132,,10.2
Gradey Dick,TOR,1067.0,1.187,-0.969,2.155,6.536,-3.6,-2.484,,10.7
P.J. Washington,DAL,1736.0,1.834,-0.305,2.139,9.606,-1.6,-0.465,-1.318,13.1
Jalen Wilson,BRK,859.0,0.777,-1.328,2.104,4.592,-5.6,-2.422,,8.7
Micah Peavy,NOP,913.0,0.986,-1.118,2.103,5.584,-5.2,-1.327,,8.3
Ja'Kobe Walter,TOR,1474.0,-2.318,-0.215,-2.103,-10.082,-0.3,-0.758,,11.8
Jaylon Tyson,CLE,1777.0,2.397,0.302,2.094,12.273,0.1,0.604,,14.8
Isaac Okoro,CHI,1695.0,1.221,-0.867,2.089,6.701,-3.8,-2.212,-0.821,9.8
Ethan Thompson,IND,653.0,1.04,-1.029,2.069,5.842,-4.9,-1.015,,8.3
Toby Okani,MEM,217.0,-0.202,-2.256,2.054,-0.049,-10.7,-2.549,,4.1
Domantas Sabonis,SAC,564.0,-1.161,0.855,-2.016,-4.595,0.6,1.147,3.655,19.2
Tari Eason,HOU,1549.0,1.896,-0.112,2.008,9.901,-1.6,0.136,,12.9
Miles McBride,NYK,1080.0,2.227,0.233,1.993,11.468,1.2,0.971,0.077,13.1
Trae Young,ATL,280.0,-1.027,0.958,-1.985,-3.959,1.8,0.928,3.666,19.8
Christian Braun,DEN,1399.0,1.808,-0.174,1.983,9.484,-1.2,-0.326,,12.6
Simone Fontecchio,MIA,1173.0,2.058,0.091,1.967,10.67,0.5,-0.386,,13.8
