player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
Nikola Jokić,DEN,2265.0,30.4,5.19,1.363,4.346,-2.984,2.984,14.2,7.367,0.316,32.3
Kristaps Porziņģis,ATL,413.0,26.4,-4.163,-1.381,1.577,-2.958,2.958,3.7,2.679,0.179,20.6
Isaiah Jackson,LAC,270.0,16.5,-4.46,-1.468,1.345,-2.813,2.813,2.6,0.003,0.213,22.2
Kristaps Porziņģis,2TM,769.0,27.3,-4.163,-1.381,1.243,-2.624,2.624,1.9,2.679,0.148,19.6
Luka Dončić,LAL,2289.0,38.1,1.717,0.344,2.896,-2.552,2.552,9.3,5.176,0.199,27.9
Javon Small,MEM,830.0,19.0,-6.204,-1.98,0.381,-2.361,2.361,1.0,-0.414,0.112,16.1
Ty Jerome,MEM,339.0,32.7,0.558,0.004,2.299,-2.295,2.295,7.7,3.047,0.191,25.6
Kristaps Porziņģis,GSW,356.0,28.3,-4.163,-1.381,0.855,-2.236,2.236,-0.2,2.679,0.113,18.4
Collin Sexton,CHO,938.0,25.7,-5.092,-1.653,0.548,-2.201,2.201,1.2,-0.867,0.141,17.7
Collin Sexton,2TM,1614.0,25.9,-5.092,-1.653,0.382,-2.035,2.035,0.6,-0.867,0.117,17.4
Domantas Sabonis,SAC,564.0,23.0,-3.96,-1.321,0.679,-2.0,2.0,0.6,1.147,0.095,19.2
Gary Payton II,GSW,1142.0,18.4,-2.728,-0.96,1.028,-1.988,1.988,1.9,1.664,0.149,18.3
Rayan Rupert,MEM,495.0,17.7,-9.91,-3.067,-1.125,-1.942,1.942,-5.1,-3.363,0.041,11.0
Isaiah Jackson,2TM,908.0,16.2,-4.46,-1.468,0.441,-1.909,1.909,-1.2,0.003,0.139,17.3
Trae Young,2TM,384.0,28.1,-1.585,-0.625,1.266,-1.891,1.891,2.8,0.928,0.174,21.1
Jalen Duren,DET,1976.0,23.6,2.892,0.689,2.549,-1.86,1.86,5.0,3.992,0.266,26.1
Vít Krejčí,ATL,1028.0,14.3,-6.223,-1.985,-0.169,-1.816,1.816,-1.3,,0.103,11.3
Collin Sexton,CHI,676.0,26.2,-5.092,-1.653,0.156,-1.81,1.81,-0.2,-0.867,0.084,17.0
Jevon Carter,CHI,254.0,19.4,-6.629,-2.104,-0.321,-1.783,1.783,-1.0,-1.081,0.058,12.3
Luke Kornet,SAS,1430.0,10.3,-0.838,-0.406,1.373,-1.778,1.778,3.6,0.875,0.231,17.9
Shai Gilgeous-Alexander,OKC,2259.0,33.4,8.092,2.214,3.983,-1.769,1.769,11.7,6.661,0.323,30.8
Jock Landale,ATL,446.0,17.7,-3.814,-1.279,0.485,-1.764,1.764,0.1,0.04,0.141,16.0
Vít Krejčí,2TM,1392.0,14.6,-6.223,-1.985,-0.24,-1.746,1.746,-1.6,,0.099,11.1
Rayan Rupert,2TM,1072.0,15.0,-9.91,-3.067,-1.35,-1.717,1.717,-5.1,-3.363,0.026,8.2
Brandon Williams,DAL,1463.0,25.1,-3.747,-1.259,0.457,-1.716,1.716,0.4,1.036,0.083,16.8
Jock Landale,2TM,1506.0,18.3,-3.814,-1.279,0.425,-1.704,1.704,-0.1,0.04,0.122,16.6
Trae Young,ATL,280.0,28.8,-1.585,-0.625,1.062,-1.687,1.687,1.8,0.928,0.163,19.8
Ace Bailey,UTA,1988.0,21.4,-8.856,-2.758,-1.078,-1.68,1.68,-4.4,-2.455,-0.001,11.6
Jock Landale,MEM,1060.0,18.6,-3.814,-1.279,0.396,-1.674,1.674,-0.2,0.04,0.114,16.8
Derik Queen,NOP,2023.0,21.8,-5.126,-1.663,0.006,-1.669,1.669,-0.8,-0.512,0.063,15.9
Kevin Durant,HOU,2840.0,27.1,0.46,-0.025,1.634,-1.658,1.658,4.5,2.377,0.18,21.1
Jevon Carter,2TM,867.0,17.0,-6.629,-2.104,-0.448,-1.656,1.656,-1.1,-1.081,0.052,10.7
Kel'el Ware,MIA,1704.0,18.0,-1.13,-0.491,1.13,-1.621,1.621,2.1,0.796,0.175,20.0
Reed Sheppard,HOU,2147.0,21.7,-3.651,-1.231,0.384,-1.614,1.614,2.7,-1.786,0.131,15.7
Pete Nance,MIL,737.0,13.5,-6.622,-2.102,-0.495,-1.608,1.608,-2.3,-1.675,0.072,11.6
Jevon Carter,ORL,613.0,16.0,-6.629,-2.104,-0.497,-1.607,1.607,-1.1,-1.081,0.05,10.0
Giannis Antetokounmpo,MIL,1039.0,37.0,6.372,1.709,3.313,-1.604,1.604,9.5,5.133,0.231,32.6
