player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
Jrue Holiday,201950,13.838,15.853,4.327,1.9
Victor Wembanyama,1641705,12.192,12.601,10.141,10.7
Shai Gilgeous-Alexander,1628983,11.295,12.911,8.535,11.7
Paul Reed,1630194,11.203,12.313,6.821,5.3
Tari Eason,1631106,10.955,12.905,3.272,-1.6
Jalen Smith,1630188,10.57,11.773,4.993,-0.7
Neemias Queta,1629674,10.13,10.741,7.378,2.8
Ausar Thompson,1641709,9.717,10.586,7.225,3.1
Amen Thompson,1641708,9.62,11.069,4.589,2.6
Dean Wade,1629731,9.506,10.299,7.361,0.2
Isaiah Hartenstein,1628392,9.349,9.944,7.733,4.2
Moussa Diabaté,1631217,9.268,9.971,5.874,1.7
Chet Holmgren,1631096,9.208,9.68,8.442,4.2
Blake Hinson,1642396,9.191,9.492,6.781,-0.6
Immanuel Quickley,1630193,9.184,10.363,3.149,2.4
Jimmy Butler III,202710,8.919,10.236,5.121,
Tobias Harris,202699,8.878,10.122,5.624,1.4
Stephon Castle,1642264,8.71,10.178,4.392,1.9
Josh Green,1630182,8.307,8.768,6.015,-0.7
Nikola Jokić,203999,8.216,9.661,6.307,14.2
Aaron Gordon,203932,7.921,8.537,6.346,1.7
Nique Clifford,1642363,7.865,9.297,-0.039,-4.9
Sam Hauser,1630573,7.839,8.453,6.602,0.6
Derrick Jones Jr.,1627884,7.78,8.871,5.007,-0.7
Steven Adams,203500,7.659,8.28,5.458,-0.5
Devin Booker,1626164,7.591,8.523,2.699,2.2
Jalen Brunson,1628973,7.504,8.796,2.433,3.1
Kris Murray,1631200,7.477,8.678,2.647,-1.5
Jalen Williams,1631114,7.43,7.763,5.865,2.1
Derrick White,1628401,7.357,7.866,6.18,3.2
OG Anunoby,1628384,7.331,7.824,5.343,2.0
Jordan Goodwin,1630692,7.24,7.812,4.128,1.8
Jaime Jaquez Jr.,1631170,7.217,8.323,2.478,0.1
Mike Conley,201144,7.188,8.011,4.476,-1.3
Bam Adebayo,1628389,7.144,7.561,4.554,2.0
Ajay Mitchell,1642349,7.033,7.004,7.716,1.9
