team,team_bias,mean_z_bpr,mean_z_cons,retro_error,direction_match
MIA,0.407,0.816,0.41,10.0,YES
TOR,0.397,0.872,0.476,8.7,YES
SAS,0.291,1.147,0.855,,—
3TM,0.223,-0.303,-0.526,,—
IND,0.223,-0.022,-0.244,15.1,YES
PHI,0.212,0.474,0.262,,—
BOS,0.16,1.057,0.897,,—
SAC,0.157,-0.164,-0.322,6.9,YES
CLE,0.123,0.748,0.625,,—
DET,0.096,0.944,0.848,,—
BRK,0.09,-0.462,-0.552,,—
DAL,0.087,-0.049,-0.136,8.4,YES
MIN,0.061,0.526,0.465,,—
PHO,0.019,0.387,0.368,,—
OKC,0.013,1.099,1.086,,—
ATL,-0.023,0.391,0.414,,—
DEN,-0.034,0.557,0.59,-7.5,YES
MIL,-0.057,-0.303,-0.246,,—
GSW,-0.068,0.177,0.245,,—
LAL,-0.068,0.367,0.435,-11.1,YES
LAC,-0.069,0.317,0.386,,—
ORL,-0.072,0.26,0.332,,—
HOU,-0.122,0.497,0.619,-6.0,YES
CHO,-0.122,0.426,0.548,,—
POR,-0.122,0.089,0.211,,—
MEM,-0.162,-0.34,-0.178,,—
NOP,-0.177,-0.197,-0.021,,—
WAS,-0.178,-0.847,-0.669,-6.1,YES
UTA,-0.217,-0.516,-0.299,,—
CHI,-0.231,-0.306,-0.075,,—
NYK,-0.314,0.473,0.787,-8.2,YES
2TM,-0.331,-0.498,-0.167,,—
