player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
John Wall,2010,1,1,19.8,Point Guard,Kentucky,/players/w/walljo01.html,https://www.sports-reference.com/cbb/players/john-wall-1.html,G,2.9,0.11625,2.725,4,,2.9,2.7,1.5,34.8,0.562,0.754,0.26,25.7,2.6,Kentucky,2010.0,21.13
Evan Turner,2010,2,1,21.7,"Small Forward, Shooting Guard,",Ohio State,/players/t/turneev01.html,https://www.sports-reference.com/cbb/players/evan-turner-1.html,G,-0.05000000000000002,0.046,-1.9749999999999999,4,,3.0,7.3,2.9,37.5,0.581,0.758,0.12,33.1,2.8,Ohio St.,2010.0,4.56
Derrick Favors,2010,3,1,18.9,Power Forward,Georgia Tech,/players/f/favorde01.html,https://www.sports-reference.com/cbb/players/derrick-favors-1.html,BIG,1.2,0.12725,0.24999999999999997,4,,1.8,12.6,7.9,7.9,0.621,0.629,0.003,21.8,2.5,Ga Tech,2010.0,14.11
Wesley Johnson,2010,4,1,23.0,Small Forward,Syracuse,/players/j/johnswe01.html,https://www.sports-reference.com/cbb/players/wes-johnson-1.html,F,0.07500000000000001,0.02475,-2.1,4,,2.7,7.6,5.7,11.1,0.6,0.772,0.299,22.1,2.9,,,
DeMarcus Cousins,2010,5,1,19.9,Center,Kentucky,/players/c/couside01.html,https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,BIG,2.3000000000000003,0.1265,2.225,4,,2.4,19.8,7.5,9.2,0.579,0.604,0.016,30.5,2.7,Kentucky,2010.0,21.13
Ekpe Udoh,2010,6,1,23.1,Center,Baylor,/players/u/udohek01.html,https://www.sports-reference.com/cbb/players/ekpe-udoh-1.html,BIG,-0.07499999999999998,0.069,-2.3,4,,,,7.6,8.0,0.48,0.588,0.057,15.3,4.5,,,
Greg Monroe,2010,7,1,20.1,Center,Georgetown,/players/m/monrogr01.html,https://www.sports-reference.com/cbb/players/greg-monroe-1.html,BIG,2.175,0.13125,1.7,4,,2.2,8.6,4.9,22.4,0.567,0.677,0.07,26.7,2.3,Georgetown,2010.0,17.03
Al-Farouq Aminu,2010,8,1,19.8,Power Forward,Wake Forest,/players/a/aminual01.html,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,BIG,0.65,0.076,-0.55,4,,2.6,14.6,4.5,9.1,0.524,0.687,0.176,27.5,2.2,Wake Forest,2010.0,11.45
Gordon Hayward,2010,9,1,20.3,Small Forward,Butler,/players/h/haywago01.html,https://www.sports-reference.com/cbb/players/gordon-hayward-1.html,F,2.475,0.115,2.075,4,,2.0,7.6,2.8,12.1,0.601,0.824,0.429,24.7,3.0,Butler,2010.0,14.37
Paul George,2010,10,1,20.1,"Small Forward, Power Forward,",Fresno State,/players/g/georgpa01.html,https://www.sports-reference.com/cbb/players/paul-george-1.html,BIG,3.0250000000000004,0.11574999999999999,2.475,4,,4.0,6.7,2.9,22.4,0.572,0.803,0.46,27.9,1.8,Fresno St.,2010.0,-4.38
Cole Aldrich,2010,11,1,21.6,Center,Kansas,/players/a/aldrico01.html,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,BIG,0.22499999999999998,0.13275,-0.02499999999999998,4,,1.6,13.6,13.0,5.8,0.596,0.729,0.0,19.9,2.9,Kansas,2010.0,24.68
Xavier Henry,2010,12,1,19.3,Small Forward,Kansas,/players/h/henryxa01.html,https://www.sports-reference.com/cbb/players/xavier-henry-1.html,F,-0.325,0.0010000000000000005,-4.925,4,,3.1,5.2,1.8,9.8,0.591,0.783,0.466,23.4,2.1,Kansas,2010.0,24.68
Ed Davis,2010,13,1,21.1,Power Forward,UNC,/players/d/davised01.html,https://www.sports-reference.com/cbb/players/ed-davis-1.html,BIG,0.85,0.14325,0.05000000000000002,4,,0.9,10.8,9.5,6.8,0.607,0.623,0.0,21.5,1.3,UNC,2010.0,10.14
Patrick Patterson,2010,14,1,21.3,Power Forward,Kentucky,/players/p/pattepa01.html,https://www.sports-reference.com/cbb/players/patrick-patterson-1.html,BIG,1.0,0.1045,2.0816681711721685e-17,4,,1.2,10.6,4.1,5.5,0.624,0.734,0.184,18.0,2.4,Kentucky,2010.0,21.13
Larry Sanders,2010,15,1,21.6,Center,VCU,/players/s/sandela01.html,https://www.sports-reference.com/cbb/players/larry-sanders-1.html,BIG,0.4,0.1025,-1.225,4,,1.6,12.9,9.1,7.7,0.563,0.577,0.044,26.7,2.2,VCU,2010.0,10.23
Luke Babbitt,2010,16,1,21.0,Small Forward,Nevada,/players/b/babbilu01.html,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,F,0.075,0.06925,-1.55,4,,1.6,6.6,1.9,11.0,0.614,0.893,0.201,26.8,1.3,Nevada,2010.0,6.5
Eric Bledsoe,2010,18,1,20.5,Point Guard,Kentucky,/players/b/bledser01.html,https://www.sports-reference.com/cbb/players/eric-bledsoe-1.html,G,1.725,0.099,1.775,4,,2.6,1.9,1.1,16.8,0.566,0.667,0.41,20.4,2.1,Kentucky,2010.0,21.13
Avery Bradley,2010,19,1,19.6,Shooting Guard,Texas,/players/b/bradlav01.html,https://www.sports-reference.com/cbb/players/avery-bradley-1.html,G,-0.125,0.048,-2.375,4,,2.4,3.5,1.6,12.4,0.496,0.545,0.304,20.4,1.6,Texas,2010.0,18.56
James Anderson,2010,20,1,21.3,Shooting Guard,Oklahoma State,/players/a/anderja01.html,https://www.sports-reference.com/cbb/players/james-anderson-3.html,G,-0.09999999999999999,0.06166666666666667,-1.8999999999999997,3,,2.4,6.7,2.0,16.5,0.596,0.797,0.439,31.5,1.7,Oklahoma St.,2010.0,6.24
Craig Brackins,2010,21,1,22.7,Power Forward,Iowa State,/players/b/brackcr01.html,https://www.sports-reference.com/cbb/players/craig-brackins-1.html,BIG,-0.2,-0.065,-9.0,1,,1.3,6.6,3.3,13.1,0.498,0.726,0.19,26.1,1.8,Iowa St.,2010.0,2.12
Elliot Williams,2010,22,1,21.0,Shooting Guard,Memphis,/players/w/williel01.html,https://www.sports-reference.com/cbb/players/elliot-williams-1.html,G,-0.3333333333333333,0.05266666666666667,-2.8333333333333335,3,,2.4,2.7,0.4,24.0,0.599,0.758,0.423,27.7,1.5,,,
Trevor Booker,2010,23,1,22.6,Power Forward,Clemson,/players/b/booketr01.html,https://www.sports-reference.com/cbb/players/trevor-booker-1.html,BIG,0.5,0.12025,-0.525,4,,2.5,10.1,4.6,17.4,0.549,0.624,0.094,24.6,2.5,Clemson,2010.0,15.71
Damion James,2010,24,1,22.7,Small Forward,Texas,/players/j/jamesda01.html,https://www.sports-reference.com/cbb/players/damion-james-1.html,F,-0.06666666666666667,-0.016499999999999997,-5.35,3,,3.0,11.0,3.6,6.1,0.578,0.64,0.224,26.3,2.7,Texas,2010.0,18.56
Dominique Jones,2010,25,1,21.7,Shooting Guard,South Florida,/players/j/jonesdo02.html,https://www.sports-reference.com/cbb/players/dominique-jones-1.html,G,-0.05,0.0225,-2.65,2,,2.8,3.6,1.6,24.4,0.562,0.737,0.339,30.8,1.9,South Fla.,2010.0,-9.31
Quincy Pondexter,2010,26,1,22.3,Small Forward,Washington,/players/p/pondequ01.html,https://www.sports-reference.com/cbb/players/quincy-pondexter-1.html,F,0.15,0.087,-1.55,4,,2.2,10.3,1.8,11.2,0.608,0.768,0.11,25.6,2.0,Washington,2010.0,15.64
Jordan Crawford,2010,27,1,21.7,Shooting Guard,Xavier,/players/c/crawfjo02.html,https://www.sports-reference.com/cbb/players/jordan-crawford-1.html,G,0.39999999999999997,0.051333333333333335,-1.0666666666666667,3,,2.4,3.4,0.6,20.1,0.564,0.773,0.359,30.8,1.8,,,
Greivis Vásquez,2010,28,1,23.4,Point Guard,Maryland,/players/v/vasqugr01.html,https://www.sports-reference.com/cbb/players/greivis-vasquez-1.html,G,0.675,0.07350000000000001,-0.7250000000000001,4,,2.8,3.8,1.0,35.2,0.549,0.828,0.374,30.2,1.9,Maryland,2010.0,17.75
Daniel Orton,2010,29,1,19.9,Center,Kentucky,/players/o/ortonda01.html,https://www.sports-reference.com/cbb/players/daniel-orton-1.html,BIG,-0.03333333333333333,0.10433333333333333,-3.3666666666666667,3,,2.4,10.3,10.6,5.0,0.533,0.524,0.022,15.0,1.3,Kentucky,2010.0,21.13
Lazar Hayward,2010,30,1,23.6,Small Forward,Marquette,/players/h/haywala01.html,https://www.sports-reference.com/cbb/players/lazar-hayward-1.html,F,-0.1,0.023499999999999997,-5.2,2,,3.6,8.2,1.7,11.2,0.536,0.789,0.362,31.6,2.2,Marquette,2010.0,15.17
