player_name,draft_year,draft_pick,draft_round,draft_age,college,position,position_group,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,program_srs,college_season_year,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bbref_url,cbb_url,school_name,per,ows,obpm,dbpm,ortg,ws_40,pts_pg,trb_pg,ast_pg,stl_pg,blk_pg,tov_pg,fg_pct,fg3_pct,mp_pg,games_played
John Wall,2010,1,1,19.8,Kentucky,Point Guard,G,,2.9,2.7,1.5,34.8,0.562,0.754,0.26,25.7,2.6,21.13,2010.0,2.9,0.11625,2.725,4,/players/w/walljo01.html,https://www.sports-reference.com/cbb/players/john-wall-1.html,Kentucky,22.3,3.7,,,,0.19565217391304346,16.6,4.3,6.5,1.8,0.5,4.0,0.461,0.325,34.8,37.0
Evan Turner,2010,2,1,21.7,Ohio State,"Small Forward, Shooting Guard,",G,,3.0,7.3,2.9,37.5,0.581,0.758,0.12,33.1,2.8,4.56,2010.0,-0.05,0.046,-1.975,4,/players/t/turneev01.html,https://www.sports-reference.com/cbb/players/evan-turner-1.html,Ohio St.,30.0,4.0,,,,0.24548736462093862,20.4,9.2,6.0,1.7,0.9,4.4,0.519,0.364,35.7,31.0
Derrick Favors,2010,3,1,18.9,Georgia Tech,Power Forward,BIG,,1.8,12.6,7.9,7.9,0.621,0.629,0.003,21.8,2.5,14.11,2010.0,1.2,0.12725,0.2499999999999999,4,/players/f/favorde01.html,https://www.sports-reference.com/cbb/players/derrick-favors-1.html,Ga Tech,24.5,2.3,,,,0.1941354903943377,12.4,8.4,1.0,0.9,2.1,2.5,0.611,0.0,27.5,36.0
Wesley Johnson,2010,4,1,23.0,Syracuse,Small Forward,F,,2.7,7.6,5.7,11.1,0.6,0.772,0.299,22.1,2.9,,,0.075,0.02475,-2.1,4,/players/j/johnswe01.html,https://www.sports-reference.com/cbb/players/wes-johnson-1.html,,24.2,3.7,,,,0.2156862745098039,16.5,8.5,2.2,1.7,1.8,2.3,0.502,0.415,35.0,35.0
DeMarcus Cousins,2010,5,1,19.9,Kentucky,Center,BIG,,2.4,19.8,7.5,9.2,0.579,0.604,0.016,30.5,2.7,21.13,2010.0,2.3000000000000003,0.1265,2.225,4,/players/c/couside01.html,https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,Kentucky,34.2,3.8,,,,0.29115341545352746,15.1,9.8,1.0,1.0,1.8,2.1,0.558,0.167,23.5,38.0
Ekpe Udoh,2010,6,1,23.1,Baylor,Center,BIG,,,,7.6,8.0,0.48,0.588,0.057,15.3,4.5,,,-0.0749999999999999,0.069,-2.3,4,/players/u/udohek01.html,https://www.sports-reference.com/cbb/players/ekpe-udoh-1.html,,24.9,3.4,,,,0.19303797468354428,13.9,9.8,2.7,0.8,3.7,2.4,0.49,0.269,35.1,36.0
Greg Monroe,2010,7,1,20.1,Georgetown,Center,BIG,,2.2,8.6,4.9,22.4,0.567,0.677,0.07,26.7,2.3,17.03,2010.0,2.175,0.13125,1.7,4,/players/m/monrogr01.html,https://www.sports-reference.com/cbb/players/greg-monroe-1.html,Georgetown,25.2,3.2,,,,0.18900343642611683,16.1,9.6,3.8,1.2,1.5,3.3,0.525,0.259,34.2,34.0
Al-Farouq Aminu,2010,8,1,19.8,Wake Forest,Power Forward,BIG,,2.6,14.6,4.5,9.1,0.524,0.687,0.176,27.5,2.2,11.45,2010.0,0.65,0.076,-0.55,4,/players/a/aminual01.html,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,Wake Forest,24.4,2.0,,,,0.17731958762886596,15.8,10.7,1.3,1.4,1.4,3.2,0.447,0.273,31.3,31.0
Gordon Hayward,2010,9,1,20.3,Butler,Small Forward,F,,2.0,7.6,2.8,12.1,0.601,0.824,0.429,24.7,3.0,14.37,2010.0,2.475,0.115,2.075,4,/players/h/haywago01.html,https://www.sports-reference.com/cbb/players/gordon-hayward-1.html,Butler,24.3,4.0,,,,0.22276029055690072,15.5,8.2,1.7,1.1,0.8,2.3,0.464,0.294,33.5,37.0
Paul George,2010,10,1,20.1,Fresno State,"Small Forward, Power Forward,",BIG,,4.0,6.7,2.9,22.4,0.572,0.803,0.46,27.9,1.8,-4.38,2010.0,3.0250000000000004,0.1157499999999999,2.475,4,/players/g/georgpa01.html,https://www.sports-reference.com/cbb/players/paul-george-1.html,Fresno St.,24.3,2.3,,,,0.17463617463617465,16.8,7.2,3.0,2.2,0.8,3.2,0.424,0.353,33.2,29.0
