rank,player_name,position,position_group,confidence_tier,college,draft_age,bpm_college,ts_pct,per,dbpm,obpm,ws_40,fg_pct,stl_pg,blk_pg,orb_pct,ast_pct,pts_pg,trb_pg,ast_pg,program_srs,mps_composite,srs_adj,games_played,games_played_pct,avail_modifier,age_penalty,height_floor_pen,combine_penalty,scout_adj,editorial_bump,mps,grade,tankathon_rank,withdrew,note,comp1_name,comp1_year,comp1_pick,comp1_sim,comp2_name,comp2_year,comp2_pick,comp2_sim
1,Darryn Peterson,PG,guard,full,Kansas,19.43,14.1,0.578,25.4,4.8,9.3,0.201,0.438,1.4,0.6,2.8,12.5,20.2,4.2,1.6,20.42,54.2,2.9,24.0,0.774,0.0,7.0,0.0,0.0,6.8,24.0,95.0,S,2.0,False,Consensus #2; model sees elite BPM but ranks lower due to DBPM=4.8 vs peers and limited GP (24 games); projection/creation not captured in stats; Youth bonus +7.0; Scout tier adj +6.8 (Tank #2),Tyrese Maxey,2020.0,21.0,,Kentavious Caldwell-Pope,2013.0,8.0,96.0
2,Cameron Boozer,PF,big,full,Duke,18.93,17.8,0.653,33.7,6.0,12.7,0.32730133752950435,0.556,1.4,0.6,12.5,26.400000000000002,22.5,10.2,4.1,30.15,75.8,4.3,38.0,1.0,0.0,7.0,0.0,0.0,6.8,0.0,93.9,S,1.0,False,Youth bonus +7.0; Scout tier adj +6.8 (Tank #1); Stats: partial manual override (BPM from BBRef),Kevin Love,2008.0,5.0,,Frank Kaminsky,2015.0,9.0,94.0
3,AJ Dybantsa,SF,wing,full,BYU,19.4,11.7,0.6,28.1,2.2,9.5,0.21,0.51,1.1,0.3,4.7,22.1,25.5,6.8,3.7,20.39,57.2,2.9,35.0,1.061,0.0,7.0,0.0,0.0,6.8,18.0,91.9,S,3.0,False,Consensus #1; model ranks lower due to DBPM=2.2 (defensive gap at college level); upside/athleticism not captured in stats; Youth bonus +7.0; Scout tier adj +6.8 (Tank #3); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Jaylen Brown,2016.0,3.0,,T.J. Warren,2014.0,14.0,95.0
4,Caleb Wilson,PF,big,full,UNC,19.93,14.0,0.626,31.4,5.3,8.7,0.256,0.578,1.5,1.4,10.5,18.1,19.8,9.4,2.7,18.55,67.6,2.7,24.0,0.727,0.0,5.0,0.0,0.0,6.8,8.0,90.0,S,4.0,False,Youth bonus +5.0; Scout tier adj +6.8 (Tank #4),Pascal Siakam,2016.0,27.0,,Grant Williams,2019.0,22.0,96.0
5,Keaton Wagler,SG,guard,full,Illinois,19.38,12.3,0.596,23.9,3.5,8.8,0.229,0.445,0.9,0.4,6.7,23.2,17.9,5.1,4.2,26.69,55.6,3.8,37.0,1.121,0.0,7.0,0.0,0.0,6.8,12.0,85.2,A,5.0,False,Youth bonus +7.0; Scout tier adj +6.8 (Tank #5),Tyrese Haliburton,2020.0,12.0,,D'Angelo Russell,2015.0,2.0,97.0
6,Aday Mara,C,big,full,Michigan,21.21,14.3,0.659,26.2,8.4,5.8,0.222,0.668,0.4,2.6,10.4,19.0,12.1,6.8,2.4,32.92,69.3,4.7,40.0,1.212,0.0,0.0,0.0,0.0,3.6,6.0,83.6,A,18.0,False,"Elite physical profile (7'3"", 9'9"" standing reach) captured in composite via wingspan/reach; Scout tier adj +3.6 (Tank #18); Model #6 vs Tankathon #18 (12 spots below consensus)",Brook Lopez,2008.0,10.0,,Jaren Jackson Jr.,2018.0,4.0,95.0
7,Kingston Flemings,SG,guard,full,Houston,19.47,12.6,0.563,23.6,6.0,6.6,0.225,0.476,1.5,0.3,1.8,32.6,16.1,4.1,5.2,26.24,55.9,3.7,37.0,1.121,0.0,7.0,-5.0,0.0,5.2,16.0,82.8,A,7.0,False,"Youth bonus +7.0; Height floor -5.0 (h=74.5"", WHR=1.013); Scout tier adj +5.2 (Tank #7)",De'Aaron Fox,2017.0,5.0,,Ty Jerome,2019.0,24.0,96.0
8,Darius Acuff Jr.,PG,guard,full,Arkansas,19.6,10.1,0.604,25.2,0.7,9.4,0.196,0.484,0.8,0.3,1.6,32.2,23.5,3.1,6.4,21.48,54.8,3.1,36.0,1.091,0.0,5.0,0.0,0.0,5.2,14.0,82.1,A,6.0,False,Youth bonus +5.0; Scout tier adj +5.2 (Tank #6),Damian Lillard,2012.0,6.0,,Cameron Payne,2015.0,14.0,95.0
9,Brayden Burries,SG,guard,full,Arizona,20.76,11.7,0.616,21.7,5.7,6.0,0.22,0.491,1.5,0.2,2.1,14.2,16.1,4.9,2.4,29.78,55.2,4.3,39.0,1.182,0.0,2.0,-5.0,0.0,5.2,18.0,79.7,D,8.0,False,"Youth bonus +2.0; Height floor -5.0 (h=75.8"", WHR=1.030); Scout tier adj +5.2 (Tank #8)",Derrick White,2017.0,29.0,,Nick Johnson,2014.0,42.0,96.0
10,Yaxel Lendeborg,PF,big,full,Michigan,23.73,16.7,0.646,25.4,6.9,9.8,0.262,0.515,1.1,1.2,8.0,18.0,15.1,6.8,3.2,32.92,68.1,4.7,40.0,1.212,0.0,-7.8,0.0,0.0,5.2,8.0,78.2,D,12.0,False,Age penalty -7.8 (23.7y); Scout tier adj +5.2 (Tank #12),Aaron Gordon,2014.0,4.0,,Frank Kaminsky,2015.0,9.0,94.0
